subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
60.0,100.0,1.0,1589,18.5113,20.2579,27.0548,36.227,43.4167,50.7813
60.0,67.0,3.0,1589,-7.6334,-10.9389,-10.0508,-10.5456,-9.0495,50.7813
60.0,68.0,1.0,1589,5.676,4.1369,1.3791,-7.9733,-15.4415,50.7813
60.0,68.0,2.0,1589,6.5828,7.0241,1.8821,-2.9743,-7.0107,50.7813
60.0,68.0,3.0,1589,-3.1943,-2.7984,-3.1725,-2.6438,-3.894,50.7813
60.0,69.0,1.0,1589,10.1988,9.1229,8.0708,12.6379,10.6466,50.7813
60.0,69.0,2.0,1589,-8.6899,-10.789,-9.9226,-10.1003,-7.1401,50.7813
60.0,69.0,3.0,1589,-6.9388,-3.0,0.472,-0.208,0.4988,50.7813
60.0,6.0,1.0,1589,-9.1526,-11.7517,-14.8687,-10.7767,-10.2778,50.7813
60.0,6.0,2.0,1589,3.2789,6.7411,9.052,12.6563,18.8902,50.7813
60.0,6.0,3.0,1589,-6.5884,-1.1271,3.0005,0.1097,-1.7893,50.7813
60.0,70.0,1.0,1589,18.6605,13.5199,9.4303,9.8218,8.2563,50.7813
60.0,70.0,2.0,1589,-3.3753,-5.5429,-10.5896,-11.3701,-12.7075,50.7813
60.0,70.0,3.0,1589,4.8414,4.939,3.2881,3.0973,0.5212,50.7813
60.0,71.0,1.0,1589,-5.2165,-4.2573,-6.3882,-0.5015,1.4189,50.7813
60.0,71.0,2.0,1589,13.8782,9.5015,11.5078,11.5582,13.3629,50.7813
60.0,72.0,1.0,1589,-9.2462,-12.3415,-12.4629,-9.536,-7.7321,50.7813
60.0,72.0,2.0,1589,2.8341,0.6937,-4.3066,0.1341,3.5098,50.7813
60.0,77.0,1.0,1589,4.8211,2.4075,7.6611,11.2533,13.9968,50.7813
60.0,76.0,3.0,1589,6.2612,1.6422,-5.8641,2.982,5.6083,50.7813
60.0,76.0,2.0,1589,-1.0791,0.1242,0.5544,-0.67,-0.6957,50.7813
60.0,76.0,1.0,1589,29.2137,31.9058,26.5512,26.4743,30.9392,50.7813
60.0,75.0,3.0,1589,-2.0552,1.2286,6.0556,6.3209,8.1713,50.7813
60.0,75.0,2.0,1589,23.811,18.5795,19.1588,15.4494,6.8648,50.7813
