subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
69.0,100.0,1.0,1589,2.9714,4.4349,-2.1495,-4.4482,-8.0016,50.7813
69.0,70.0,3.0,1589,14.0662,11.134,9.4688,9.6832,11.9825,50.7813
69.0,70.0,2.0,1589,4.7531,8.4594,11.1816,11.641,12.757,50.7813
69.0,70.0,1.0,1589,-13.6565,-16.4932,-19.288,-21.0435,-18.9565,50.7813
69.0,6.0,3.0,1589,2.5021,4.8503,0.1901,-1.4195,-2.2748,50.7813
69.0,6.0,2.0,1589,-26.3942,-32.7645,-37.5648,-41.1311,-38.6746,50.7813
69.0,6.0,1.0,1589,10.6756,10.934,9.8427,9.3475,6.0133,50.7813
69.0,71.0,1.0,1589,6.351,4.6026,4.5493,2.9636,-1.767,50.7813
69.0,69.0,3.0,1589,14.4247,20.1217,19.1307,13.6326,5.7303,50.7813
69.0,69.0,1.0,1589,15.5853,18.0256,17.9751,16.9286,19.9682,50.7813
69.0,68.0,3.0,1589,-2.074,-2.4452,-8.5119,-5.8624,-4.355,50.7813
69.0,68.0,1.0,1589,8.6302,13.3617,10.1361,6.0795,-0.5141,50.7813
69.0,67.0,3.0,1589,-0.9748,-0.6006,-6.6282,-8.9479,-7.1868,50.7813
69.0,67.0,2.0,1589,-11.9792,-11.5293,-7.8094,-12.817,-9.8255,50.7813
69.0,67.0,1.0,1589,-25.0179,-25.4147,-22.5612,-21.6011,-21.7849,50.7813
69.0,69.0,2.0,1589,23.637,27.6109,17.9418,5.9859,-0.5008,50.7813
69.0,71.0,2.0,1589,5.359,3.3336,3.7614,0.2864,-7.0347,50.7813
69.0,71.0,3.0,1589,6.7397,0.7652,0.936,7.8397,12.8611,50.7813
69.0,72.0,1.0,1589,22.7507,25.1991,19.5426,8.957,-1.964,50.7813
69.0,77.0,1.0,1589,3.3112,3.0829,5.5497,7.0461,4.4345,50.7813
69.0,76.0,3.0,1589,6.8105,7.9114,1.0531,1.0775,3.2457,50.7813
69.0,76.0,2.0,1589,-2.0078,0.0229,-5.5374,-14.5774,-17.6398,50.7813
69.0,76.0,1.0,1589,-4.6872,-7.4335,-1.9878,4.487,13.1028,50.7813
69.0,75.0,3.0,1589,-32.3761,-33.6084,-29.1724,-22.6972,-22.3507,50.7813
69.0,75.0,2.0,1589,5.7488,3.4305,9.4911,20.9302,24.2448,50.7813
69.0,75.0,1.0,1589,8.2536,9.5959,11.017,15.2021,21.3837,50.7813
69.0,74.0,3.0,1589,5.8044,3.6458,5.2107,8.9339,10.3491,50.7813
69.0,74.0,2.0,1589,8.3344,6.8175,-6.559,-11.7966,-18.1643,50.7813
69.0,74.0,1.0,1589,7.1285,12.6213,14.456,10.9266,3.5148,50.7813
69.0,73.0,3.0,1589,-0.787,0.114,-4.5791,-6.4175,-10.7443,50.7813
69.0,73.0,2.0,1589,-6.227,-9.5047,-15.2464,-14.2537,-5.2734,50.7813
69.0,73.0,1.0,1589,-10.2938,-12.8239,-13.734,-8.7204,-8.3668,50.7813
69.0,72.0,3.0,1589,24.6469,27.3426,21.4586,16.5754,12.023,50.7813
69.0,72.0,2.0,1589,10.6434,9.9646,2.4175,-4.0403,0.3391,50.7813
69.0,66.0,3.0,1589,3.2094,2.5933,8.5701,16.417,21.8606,50.7813
69.0,77.0,3.0,1589,-5.6981,-6.051,-12.6904,-14.627,-12.7826,50.7813
69.0,66.0,2.0,1589,-13.2006,-14.9396,-27.0612,-26.4592,-22.4055,50.7813
69.0,65.0,3.0,1589,-11.8994,-17.1661,-22.1263,-26.611,-25.9585,50.7813
69.0,5.0,1.0,1589,-8.0822,-10.7601,-21.122,-17.5701,-12.8134,50.7813
69.0,59.0,3.0,1589,24.9765,30.7048,25.7278,29.6845,31.448,50.7813
69.0,59.0,2.0,1589,-10.9602,-9.2575,-16.6833,-26.0695,-32.9309,50.7813
69.0,59.0,1.0,1589,11.0026,11.5344,17.3257,21.4404,17.082,50.7813
69.0,58.0,3.0,1589,24.4581,26.6757,20.0289,14.221,11.1863,50.7813
69.0,58.0,2.0,1589,-23.6158,-26.8031,-29.5868,-25.7,-19.593,50.7813
69.0,5.0,2.0,1589,4.1114,4.2873,6.417,10.7382,11.4719,50.7813
69.0,58.0,1.0,1589,-15.7207,-13.3246,-12.345,-9.3272,-4.9313,50.7813
69.0,57.0,2.0,1589,9.7993,9.9829,13.8608,12.0398,3.9757,50.7813
69.0,57.0,1.0,1589,-15.4984,-18.6398,-19.2569,-18.2969,-9.6714,50.7813
69.0,56.0,3.0,1589,-23.8723,-29.6655,-27.9048,-22.8186,-13.7034,50.7813
69.0,56.0,2.0,1589,-14.0851,-12.805,-11.1092,-12.5888,-8.7499,50.7813
69.0,56.0,1.0,1589,-6.5251,-6.6201,-8.5092,-5.0401,-4.5068,50.7813
69.0,55.0,3.0,1589,-0.1823,-2.2946,-2.6378,-4.4729,-6.9197,50.7813
69.0,57.0,3.0,1589,-22.0913,-28.1332,-34.5228,-34.5432,-30.3226,50.7813
69.0,5.0,3.0,1589,4.1348,6.3338,13.7624,13.4502,11.0048,50.7813
69.0,60.0,1.0,1589,13.8721,13.0508,10.1175,11.4798,15.6194,50.7813
69.0,60.0,2.0,1589,-11.0011,-17.748,-23.4173,-26.3124,-29.3899,50.7813
69.0,65.0,2.0,1589,27.9375,34.264,33.4049,26.2808,19.0144,50.7813
69.0,65.0,1.0,1589,11.2206,9.9093,9.0495,12.5411,17.7664,50.7813
69.0,64.0,3.0,1589,-16.6592,-18.4852,-28.0284,-37.2932,-34.3049,50.7813
69.0,64.0,2.0,1589,-20.2281,-27.9787,-36.5212,-28.7865,-13.1478,50.7813
69.0,64.0,1.0,1589,3.9126,4.2343,7.0389,10.564,5.9128,50.7813
69.0,63.0,3.0,1589,0.2394,4.8042,12.4404,12.9978,4.6074,50.7813
69.0,63.0,2.0,1589,16.764,21.1984,22.2236,18.4739,12.6387,50.7813
69.0,63.0,1.0,1589,16.1891,17.1378,19.2664,15.6853,10.3348,50.7813
69.0,62.0,3.0,1589,13.2502,13.6052,17.8469,15.5157,7.2591,50.7813
69.0,62.0,2.0,1589,-5.2563,-8.9333,-8.8285,1.0844,1.9206,50.7813
69.0,62.0,1.0,1589,6.4641,8.934,4.3775,0.3149,3.1933,50.7813
69.0,61.0,3.0,1589,-2.8682,-1.252,1.0141,-3.1296,-1.7816,50.7813
69.0,61.0,2.0,1589,17.4472,17.953,15.7582,16.7676,12.0529,50.7813
69.0,61.0,1.0,1589,-8.7132,-12.9206,-14.4701,-11.2648,-9.8166,50.7813
69.0,60.0,3.0,1589,32.8385,38.3573,36.2635,30.1894,21.8125,50.7813
69.0,66.0,1.0,1589,-2.4981,-1.1466,-3.1717,-2.3399,-0.8708,50.7813
69.0,55.0,2.0,1589,-4.0373,1.5628,5.0295,-1.4782,-8.0043,50.7813
69.0,78.0,1.0,1589,26.2295,34.8728,34.3593,27.0872,19.5727,50.7813
69.0,78.0,3.0,1589,-3.2519,-5.2484,-9.3866,-6.4699,-1.1992,50.7813
69.0,93.0,3.0,1589,7.3071,6.8701,6.0301,2.4843,0.8029,50.7813
69.0,93.0,2.0,1589,-7.3031,-5.1274,2.8866,2.2697,-0.9106,50.7813
69.0,93.0,1.0,1589,-0.8228,1.5136,7.0835,13.5144,15.7128,50.7813
69.0,92.0,3.0,1589,21.1396,25.351,25.1589,24.3896,20.7176,50.7813
