subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
41.0,100.0,1.0,1589,-1.3714,-1.4696,-1.0809,-0.217,-1.5537,50.7813
41.0,71.0,3.0,1589,-2.4525,-0.6175,4.9611,9.6807,16.79,50.7813
41.0,71.0,2.0,1589,-4.1433,-4.093,-2.3223,-1.798,1.1495,50.7813
41.0,71.0,1.0,1589,1.4173,0.0475,1.6465,0.4079,-2.8446,50.7813
41.0,70.0,3.0,1589,-11.8726,-10.3339,-7.3915,-10.07,-14.1323,50.7813
41.0,70.0,2.0,1589,-11.9126,-8.5301,-6.1556,-3.5184,1.4558,50.7813
41.0,70.0,1.0,1589,1.2266,0.5266,2.4295,2.0735,0.1502,50.7813
41.0,72.0,1.0,1589,-28.4658,-27.3163,-25.7201,-22.997,-18.7551,50.7813
41.0,6.0,3.0,1589,1.0055,1.1436,2.7328,4.3536,4.9931,50.7813
41.0,6.0,1.0,1589,24.2829,10.9782,3.6189,-1.3327,-0.4203,50.7813
41.0,69.0,3.0,1589,-3.0866,-2.8588,-1.7462,-4.2844,-5.9808,50.7813
41.0,69.0,2.0,1589,8.1466,8.1317,5.9262,2.9983,-0.7672,50.7813
41.0,69.0,1.0,1589,-6.2151,-6.5792,-7.1286,-8.0771,-9.3736,50.7813
41.0,68.0,3.0,1589,-2.9682,-2.1001,-0.4216,-3.1024,-4.907,50.7813
41.0,68.0,2.0,1589,-5.1931,-4.8461,-3.0753,-4.421,-6.5418,50.7813
41.0,6.0,2.0,1589,3.5783,9.6295,14.3048,15.4001,20.7407,50.7813
41.0,68.0,1.0,1589,-31.6283,-32.3059,-30.3938,-25.8609,-18.9859,50.7813
41.0,72.0,2.0,1589,-1.6678,-2.6134,-3.0707,-1.5581,-5.4141,50.7813
41.0,73.0,1.0,1589,-2.4043,-1.4002,2.1525,9.4774,9.7554,50.7813
41.0,77.0,3.0,1589,6.0896,5.2697,5.6285,6.7259,6.416,50.7813
41.0,77.0,2.0,1589,5.5621,4.4949,2.0983,-0.5519,-2.6894,50.7813
41.0,77.0,1.0,1589,-13.4468,-12.2333,-8.0008,-6.5914,-7.9166,50.7813
41.0,76.0,3.0,1589,10.7756,10.6082,8.2815,5.3437,0.6327,50.7813
41.0,76.0,2.0,1589,19.2023,18.1446,16.6794,17.4028,16.0153,50.7813
41.0,76.0,1.0,1589,-0.5188,-0.5104,-0.0286,0.5299,0.8395,50.7813
41.0,72.0,3.0,1589,-7.8317,-10.0984,-14.5217,-12.9032,-15.2726,50.7813
41.0,75.0,3.0,1589,-8.8244,-9.1829,-10.97,-10.9713,-18.551,50.7813
41.0,75.0,1.0,1589,11.1186,12.7718,14.3407,14.1591,15.144,50.7813
41.0,74.0,3.0,1589,4.3363,5.9237,8.6687,10.7773,6.8221,50.7813
41.0,74.0,2.0,1589,-2.9542,-2.6976,-3.0612,-6.8688,-6.4893,50.7813
41.0,74.0,1.0,1589,-20.9076,-20.9198,-17.8788,-12.5295,-14.554,50.7813
41.0,73.0,3.0,1589,-5.7778,-5.1358,-2.6408,0.1572,-1.2881,50.7813
41.0,73.0,2.0,1589,11.2685,11.6654,10.171,5.5503,2.9623,50.7813
41.0,75.0,2.0,1589,11.343,10.6243,6.9094,5.8976,2.9375,50.7813
41.0,67.0,3.0,1589,11.4206,14.2339,16.5983,16.3364,15.1008,50.7813
41.0,67.0,2.0,1589,6.1436,5.7673,6.749,6.9792,4.6707,50.7813
41.0,67.0,1.0,1589,-0.6665,2.1311,3.3564,6.063,6.6853,50.7813
41.0,60.0,2.0,1589,9.9547,7.5568,5.8064,-2.0972,-6.6028,50.7813
41.0,60.0,1.0,1589,-12.6318,-13.8854,-13.8682,-12.9583,-9.9791,50.7813
41.0,5.0,3.0,1589,-4.2208,-3.2665,-0.8748,0.488,0.4418,50.7813
41.0,5.0,2.0,1589,-1.7065,-0.3125,1.9162,2.032,0.969,50.7813
41.0,5.0,1.0,1589,8.121,4.0925,3.4374,1.2931,-0.371,50.7813
41.0,59.0,3.0,1589,11.5201,5.7853,4.0081,6.0652,4.0628,50.7813
41.0,60.0,3.0,1589,45.0843,29.7218,26.1369,22.4241,23.2688,50.7813
41.0,59.0,1.0,1589,3.6327,1.1066,2.6108,2.8353,5.9722,50.7813
41.0,58.0,2.0,1589,3.8379,5.6689,8.4961,6.439,7.3771,50.7813
41.0,58.0,1.0,1589,1.6559,3.4941,4.2081,7.1928,13.117,50.7813
41.0,57.0,2.0,1589,-1.1693,-0.8396,-1.3547,-2.193,-3.6785,50.7813
41.0,57.0,1.0,1589,-13.8055,-13.2602,-11.502,-7.5447,-11.1059,50.7813
41.0,56.0,3.0,1589,83.0963,49.2323,34.3082,26.6426,24.7662,50.7813
41.0,56.0,2.0,1589,1.1036,2.0915,3.4891,3.0377,3.1815,50.7813
41.0,58.0,3.0,1589,62.081,43.343,33.355,28.141,25.7994,50.7813
41.0,61.0,1.0,1589,-0.2501,0.415,0.9963,4.4982,6.0833,50.7813
41.0,61.0,2.0,1589,10.9626,16.2686,20.0655,20.7855,20.8031,50.7813
41.0,61.0,3.0,1589,-7.013,-8.2653,-9.3361,-7.0565,-3.8399,50.7813
41.0,66.0,3.0,1589,7.2761,8.2722,10.4366,4.2659,2.9965,50.7813
41.0,66.0,2.0,1589,1.8986,2.1281,1.1792,-0.7749,-0.9927,50.7813
41.0,66.0,1.0,1589,6.1259,9.109,10.1853,11.6426,10.4858,50.7813
41.0,65.0,3.0,1589,6.4466,5.7147,6.1375,7.8145,5.3755,50.7813
41.0,65.0,2.0,1589,3.1083,2.4295,1.8691,0.1534,-2.3703,50.7813
41.0,65.0,1.0,1589,4.1187,3.2751,0.2853,0.234,-4.6103,50.7813
41.0,64.0,3.0,1589,1.2358,0.7484,0.7215,-1.6837,-2.2373,50.7813
41.0,64.0,2.0,1589,-4.7153,-5.5901,-7.6093,-8.8725,-8.1294,50.7813
41.0,64.0,1.0,1589,10.1983,12.8247,12.893,14.7695,17.8153,50.7813
41.0,63.0,3.0,1589,15.2815,14.462,10.0005,11.0632,5.0631,50.7813
41.0,63.0,2.0,1589,7.6609,8.3413,9.9213,5.7177,-1.1127,50.7813
