subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
36.0,100.0,1.0,1589,0.1007,-0.4813,0.2687,8.5943,17.0448,50.7813
36.0,70.0,3.0,1589,-4.3114,-2.4537,-7.1026,-1.7972,-5.5751,50.7813
36.0,70.0,2.0,1589,14.5331,28.4343,9.5465,-2.457,3.3313,50.7813
36.0,70.0,1.0,1589,-7.7279,-0.3323,-4.6593,-3.055,-3.5399,50.7813
36.0,6.0,3.0,1589,12.5882,15.4518,19.5777,11.0079,7.2678,50.7813
36.0,6.0,2.0,1589,-12.2333,-19.2686,-24.7455,-28.1944,-23.3345,50.7813
36.0,6.0,1.0,1589,6.8647,2.912,5.8039,6.3347,2.4665,50.7813
36.0,71.0,1.0,1589,-4.6679,-7.0489,-13.2404,-16.392,-13.7207,50.7813
36.0,69.0,3.0,1589,4.8993,6.7317,6.2065,8.2494,14.3178,50.7813
36.0,69.0,1.0,1589,-16.5275,-10.2281,-9.0498,-8.9165,-5.2479,50.7813
36.0,68.0,3.0,1589,24.0327,17.0823,20.8812,24.1271,25.05,50.7813
36.0,68.0,2.0,1589,5.4669,8.0203,14.3755,18.8953,21.3281,50.7813
36.0,68.0,1.0,1589,-0.8805,1.4833,3.8969,-1.2825,-4.1294,50.7813
36.0,67.0,3.0,1589,2.436,5.0327,6.6842,5.7697,8.2989,50.7813
36.0,67.0,2.0,1589,18.7856,31.8769,10.6104,3.2546,2.3059,50.7813
36.0,69.0,2.0,1589,-4.2187,-4.9637,8.5843,16.9261,23.9713,50.7813
36.0,71.0,2.0,1589,-5.1927,-6.8599,-2.826,-2.0978,-3.2023,50.7813
36.0,71.0,3.0,1589,-11.6741,-16.1335,-21.0273,-21.7674,-19.5484,50.7813
36.0,72.0,1.0,1589,-9.948,-6.5525,-4.3523,4.5707,4.5557,50.7813
36.0,77.0,1.0,1589,-2.2105,0.1668,-1.2138,-2.4651,0.8988,50.7813
36.0,76.0,3.0,1589,-12.0701,-13.496,-14.1899,0.2085,2.8584,50.7813
36.0,76.0,2.0,1589,11.8851,10.1323,13.1332,18.213,20.4867,50.7813
36.0,76.0,1.0,1589,-4.0908,-3.4802,-7.1555,-4.9904,0.3687,50.7813
36.0,75.0,3.0,1589,3.2022,5.6071,2.7149,5.8819,4.3273,50.7813
36.0,75.0,2.0,1589,-10.9253,-10.6138,-11.0398,-13.2303,-11.1408,50.7813
36.0,75.0,1.0,1589,0.7271,6.0928,1.7478,-0.1128,5.975,50.7813
36.0,74.0,3.0,1589,6.863,14.1333,16.1434,15.914,20.7987,50.7813
36.0,74.0,2.0,1589,6.3264,5.2077,3.8842,-2.7642,0.7603,50.7813
36.0,74.0,1.0,1589,11.0317,11.2836,13.6943,14.4864,14.6016,50.7813
36.0,73.0,3.0,1589,17.1199,23.6172,23.4911,19.621,21.4898,50.7813
36.0,73.0,2.0,1589,-9.064,-10.4467,-6.5009,1.9483,2.786,50.7813
36.0,73.0,1.0,1589,10.6192,4.5995,9.0111,11.5432,8.413,50.7813
36.0,72.0,3.0,1589,13.929,-0.1484,-2.8757,-10.5364,-11.6313,50.7813
36.0,72.0,2.0,1589,-10.1273,-13.41,-3.198,-5.2022,-8.2544,50.7813
36.0,67.0,1.0,1589,-9.8849,-8.7625,-8.9261,-10.4065,-9.9183,50.7813
36.0,66.0,3.0,1589,-9.7785,-7.0846,-2.4873,2.6981,1.3309,50.7813
36.0,66.0,2.0,1589,-5.8204,-6.0548,-1.3784,4.4062,7.5955,50.7813
36.0,66.0,1.0,1589,-16.5095,-8.5131,-5.3406,-3.7065,-3.6877,50.7813
36.0,5.0,2.0,1589,9.075,10.1474,13.0002,13.2438,12.2021,50.7813
36.0,5.0,1.0,1589,-0.6965,-0.695,2.0783,3.6705,3.3667,50.7813
36.0,59.0,3.0,1589,8.1924,4.5561,10.6471,10.8254,15.2689,50.7813
36.0,59.0,2.0,1589,-8.8506,-7.3237,-0.3202,1.9519,-0.0276,50.7813
