subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
44.0,10.0,1.0,1589,-2.9841,-2.3199,-4.2175,-5.2722,-7.4713,50.7813
44.0,70.0,1.0,1589,5.7796,3.3771,1.0114,-3.9878,-13.578,50.7813
44.0,6.0,3.0,1589,-7.8365,-10.5627,-7.8333,-6.5601,-8.5706,50.7813
44.0,6.0,2.0,1589,-0.0172,2.7818,11.3391,13.3678,14.2337,50.7813
44.0,6.0,1.0,1589,-0.6787,-0.6284,-4.2407,0.1136,1.4455,50.7813
44.0,69.0,2.0,1589,7.4517,13.6204,17.537,14.3996,9.2871,50.7813
44.0,69.0,1.0,1589,1.2909,4.6887,7.6253,8.6642,13.1664,50.7813
44.0,70.0,2.0,1589,-1.3736,3.5654,10.456,12.0602,14.4191,50.7813
44.0,68.0,3.0,1589,5.456,5.4446,3.4531,4.3012,4.4716,50.7813
44.0,68.0,1.0,1589,8.4099,13.1243,10.3883,9.7207,7.2333,50.7813
44.0,67.0,3.0,1589,2.0168,8.6956,7.6399,5.179,3.1847,50.7813
44.0,67.0,2.0,1589,-2.245,-2.038,-2.0881,-2.567,-5.8031,50.7813
44.0,67.0,1.0,1589,-2.3559,2.9925,2.6444,-1.7655,2.7775,50.7813
44.0,66.0,3.0,1589,-4.2571,-9.1402,-7.0532,-5.8549,-5.0361,50.7813
44.0,66.0,2.0,1589,12.7776,14.2626,20.2501,20.1279,25.9473,50.7813
44.0,68.0,2.0,1589,-0.7486,-4.7544,-9.977,-12.8673,-14.9662,50.7813
44.0,66.0,1.0,1589,-13.4569,-12.1939,-14.2774,-10.6187,-3.9409,50.7813
44.0,70.0,3.0,1589,12.8412,14.008,18.8654,12.7965,9.8914,50.7813
44.0,71.0,2.0,1589,-8.2765,-8.9807,0.708,4.28,8.7226,50.7813
44.0,76.0,1.0,1589,-9.1141,-10.8205,-11.7811,-7.0928,-4.0821,50.7813
44.0,75.0,3.0,1589,-17.0088,-18.232,-15.4531,-10.3165,-2.362,50.7813
44.0,75.0,2.0,1589,-3.0814,-4.4616,-2.0591,3.9613,5.1831,50.7813
44.0,75.0,1.0,1589,6.5102,1.23,0.7032,4.3889,1.1739,50.7813
44.0,74.0,3.0,1589,-11.8504,-15.9767,-13.2494,-14.4866,-14.2105,50.7813
44.0,74.0,2.0,1589,10.4932,10.6482,13.4469,13.8754,10.3412,50.7813
44.0,71.0,1.0,1589,-4.6499,-5.48,0.6708,3.4564,3.3325,50.7813
44.0,74.0,1.0,1589,-1.7713,-3.129,1.8112,0.5688,-5.1793,50.7813
44.0,73.0,2.0,1589,16.8728,18.451,16.1232,17.9664,22.3017,50.7813
44.0,73.0,1.0,1589,-11.1299,-13.6959,-17.0114,-5.5174,-5.122,50.7813
