subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
67.0,100.0,1.0,1589,7.1213,7.3786,11.9348,8.5109,14.926,50.7813
67.0,70.0,2.0,1589,20.5634,21.547,19.0345,28.6043,40.6181,50.7813
67.0,70.0,1.0,1589,5.636,6.3921,8.3849,7.699,4.9648,50.7813
67.0,6.0,3.0,1589,3.4956,3.0491,4.755,5.2326,5.2406,50.7813
67.0,6.0,2.0,1589,-2.0027,-6.0734,-6.0421,-4.3681,-7.3287,50.7813
67.0,6.0,1.0,1589,-2.2717,0.1441,1.0695,3.1928,-5.476,50.7813
67.0,69.0,3.0,1589,-8.3932,-6.9725,-10.6846,-8.2268,-4.87,50.7813
67.0,70.0,3.0,1589,15.2909,9.3415,9.2364,14.3119,16.2469,50.7813
67.0,69.0,2.0,1589,3.3365,2.4472,5.0541,-0.5856,-7.7064,50.7813
67.0,68.0,3.0,1589,-15.6913,-18.149,-14.4665,-9.1169,-11.7676,50.7813
67.0,68.0,2.0,1589,-11.0603,-6.2042,-3.4795,4.6244,-2.4498,50.7813
67.0,68.0,1.0,1589,-11.9193,-9.1504,-6.1899,-3.8253,-5.8919,50.7813
67.0,67.0,3.0,1589,2.9094,1.6116,1.7596,2.5132,5.4414,50.7813
67.0,67.0,2.0,1589,-1.1871,0.4657,1.9488,6.8944,3.0162,50.7813
67.0,67.0,1.0,1589,1.776,4.9731,5.4488,4.3908,1.7993,50.7813
67.0,69.0,1.0,1589,18.6008,18.3272,14.3983,12.174,5.4686,50.7813
67.0,66.0,3.0,1589,2.7901,-0.2386,-4.9712,-4.2608,-4.8634,50.7813
67.0,71.0,1.0,1589,10.521,10.16,14.4238,22.2539,25.7678,50.7813
67.0,71.0,3.0,1589,3.5532,3.9609,3.6177,9.2516,7.9091,50.7813
67.0,76.0,2.0,1589,-11.6899,-9.1947,-4.7787,-8.5248,-6.4212,50.7813
67.0,76.0,1.0,1589,9.3284,8.1163,12.3631,5.9857,3.614,50.7813
67.0,75.0,3.0,1589,-20.2395,-21.8765,-25.4548,-21.9689,-22.0226,50.7813
67.0,75.0,2.0,1589,-1.7598,-3.6627,-1.5575,-3.8345,-2.4631,50.7813
67.0,75.0,1.0,1589,-7.6431,-3.9319,-1.1237,-2.0099,-3.7929,50.7813
67.0,74.0,3.0,1589,-5.0012,-4.1086,-8.9323,-5.1396,-2.8958,50.7813
67.0,71.0,2.0,1589,-11.6486,-13.884,-12.7863,-9.8881,-3.4674,50.7813
67.0,74.0,2.0,1589,7.12,-1.6461,-7.2437,-12.4821,-7.1593,50.7813
67.0,73.0,3.0,1589,2.6888,0.7133,1.3551,0.7404,4.0079,50.7813
67.0,73.0,2.0,1589,-3.4361,-2.5219,-0.5907,-1.7449,3.3046,50.7813
67.0,73.0,1.0,1589,-24.523,-13.2282,-13.7468,-15.2295,-14.4652,50.7813
67.0,72.0,3.0,1589,2.1489,-1.2112,0.5008,1.2285,3.361,50.7813
67.0,72.0,2.0,1589,14.7837,16.4385,16.9088,13.607,10.9324,50.7813
67.0,72.0,1.0,1589,0.8545,-2.9826,-5.7956,-7.796,-11.2031,50.7813
67.0,74.0,1.0,1589,2.4703,5.7758,6.4904,3.331,1.0546,50.7813
67.0,66.0,2.0,1589,-8.2944,-8.4846,-7.2045,-4.0431,0.9672,50.7813
67.0,66.0,1.0,1589,2.9796,6.0365,12.0874,8.7045,2.5404,50.7813
67.0,65.0,3.0,1589,-18.4084,-18.8782,-20.673,-20.0082,-20.1102,50.7813
67.0,5.0,1.0,1589,4.1803,4.2541,9.2146,11.6843,5.5522,50.7813
67.0,59.0,3.0,1589,7.8455,11.1289,9.1363,9.9108,7.4185,50.7813
67.0,59.0,2.0,1589,-1.3638,-2.2064,-3.0634,2.1545,0.0153,50.7813
67.0,59.0,1.0,1589,6.0533,11.7935,9.2515,9.5796,6.2817,50.7813
67.0,58.0,3.0,1589,-3.6362,-4.3305,0.2488,3.0699,4.041,50.7813
67.0,58.0,2.0,1589,12.3048,8.4071,6.4076,-0.3155,2.2911,50.7813
67.0,5.0,2.0,1589,-7.5776,-3.8724,0.6973,-1.3297,0.7751,50.7813
67.0,58.0,1.0,1589,14.1295,7.9388,8.5006,11.7632,12.5163,50.7813
67.0,57.0,1.0,1589,-5.0474,-2.9797,-6.2595,-9.3015,-7.3347,50.7813
67.0,56.0,3.0,1589,-7.5781,-10.4336,-10.4149,-9.7955,-8.1657,50.7813
67.0,56.0,2.0,1589,-3.1821,-1.4548,3.1209,-1.0975,-2.383,50.7813
67.0,56.0,1.0,1589,-1.0858,2.3031,3.9101,3.1249,1.4693,50.7813
67.0,55.0,3.0,1589,-1.5177,0.0163,-0.9161,-1.6164,-0.0521,50.7813
67.0,55.0,2.0,1589,3.8129,5.6248,2.0414,2.8085,3.0284,50.7813
67.0,57.0,3.0,1589,-6.4168,-5.809,-6.8345,-7.5919,-8.1632,50.7813
67.0,5.0,3.0,1589,23.6409,20.8269,19.3766,25.9754,27.3859,50.7813
67.0,60.0,1.0,1589,-1.4901,-4.7764,-5.4627,-7.5166,-8.383,50.7813
67.0,60.0,2.0,1589,3.4638,1.7011,1.2306,-1.4837,4.7797,50.7813
67.0,65.0,2.0,1589,-15.4399,-17.3938,-20.0195,-16.7858,-21.4282,50.7813
67.0,65.0,1.0,1589,17.357,25.2548,27.079,25.117,24.288,50.7813
67.0,64.0,3.0,1589,-2.9846,-2.8441,0.1134,6.3651,7.2209,50.7813
67.0,64.0,2.0,1589,-2.9636,-5.9692,-5.0587,-7.1377,-7.5831,50.7813
67.0,64.0,1.0,1589,16.8493,18.087,12.9342,13.3672,6.1263,50.7813
67.0,63.0,3.0,1589,9.6897,3.0553,0.6494,1.3693,7.0212,50.7813
67.0,63.0,2.0,1589,-9.0802,-12.0538,-17.5182,-20.8771,-22.8915,50.7813
67.0,63.0,1.0,1589,-0.7962,-0.2233,0.5019,-5.062,1.2905,50.7813
67.0,62.0,3.0,1589,-4.0148,-9.1599,-6.5758,-8.4754,-10.6569,50.7813
67.0,62.0,2.0,1589,1.9975,1.7708,-3.4933,-8.1068,-3.2233,50.7813
67.0,62.0,1.0,1589,0.9793,4.1956,10.9412,10.5811,7.2331,50.7813
67.0,61.0,3.0,1589,-8.9154,-2.9728,-4.5762,-2.4794,-8.8483,50.7813
67.0,61.0,2.0,1589,-5.2041,-4.8486,-6.5049,-6.5436,-0.8395,50.7813
67.0,61.0,1.0,1589,8.6776,9.9684,12.1334,3.2469,-3.4383,50.7813
67.0,60.0,3.0,1589,2.1578,-1.2548,-3.809,9.8146,17.6594,50.7813
67.0,77.0,1.0,1589,12.17,16.459,13.7553,9.4396,7.2443,50.7813
67.0,55.0,1.0,1589,-0.9852,-5.543,-3.2967,-9.6894,-3.9692,50.7813
67.0,77.0,2.0,1589,10.173,8.9538,8.8536,7.0968,0.4873,50.7813
67.0,78.0,1.0,1589,3.2892,8.1334,7.1764,1.7331,-2.5075,50.7813
67.0,93.0,3.0,1589,12.0883,9.2746,8.0606,7.4872,8.4534,50.7813
67.0,93.0,2.0,1589,2.6232,0.1727,-0.2725,1.2045,2.9742,50.7813
67.0,93.0,1.0,1589,-16.89,-17.2292,-16.7405,-14.6088,-13.2928,50.7813
67.0,92.0,3.0,1589,3.0682,2.867,6.8839,4.9528,6.5058,50.7813
67.0,92.0,2.0,1589,1.796,-0.1052,-1.9244,-4.3382,-0.5815,50.7813
67.0,92.0,1.0,1589,8.6511,11.0512,11.1015,10.3087,9.5916,50.7813
67.0,94.0,1.0,1589,12.8664,12.7494,14.7197,16.309,13.087,50.7813
67.0,91.0,3.0,1589,-23.2541,-24.5822,-27.5793,-21.6014,-23.1655,50.7813
