subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
24.0,100.0,3.0,1589,-13.9147,-7.9253,-7.7427,-3.6148,-16.0355,50.7813
24.0,70.0,3.0,1589,-18.7108,-16.6129,-18.1839,-18.5345,-25.6578,50.7813
24.0,70.0,2.0,1589,-9.9569,-13.1441,-13.4908,-6.3512,-6.5681,50.7813
24.0,70.0,1.0,1589,-16.2477,-16.971,-13.3198,-5.8742,-11.8281,50.7813
24.0,6.0,3.0,1589,-9.3199,-9.8947,-8.7258,-12.8863,-13.4189,50.7813
24.0,6.0,2.0,1589,0.695,3.3026,-4.093,-6.8016,-6.0167,50.7813
24.0,6.0,1.0,1589,-2.4156,-11.3164,-9.4851,-1.9106,-3.0396,50.7813
24.0,71.0,1.0,1589,-19.2403,-8.6601,-9.7928,-11.6258,-10.9342,50.7813
24.0,69.0,3.0,1589,4.0268,-1.3861,0.5068,-6.0398,-3.9804,50.7813
24.0,69.0,1.0,1589,-16.7598,-18.5642,-17.4345,-18.436,-23.8706,50.7813
24.0,68.0,3.0,1589,-1.3958,-2.4031,-1.7948,-6.9474,1.2206,50.7813
24.0,68.0,2.0,1589,-1.5099,-6.0099,-7.0163,-9.4756,-15.885,50.7813
24.0,68.0,1.0,1589,-12.7804,-10.9998,-11.27,-10.2996,-7.0239,50.7813
24.0,67.0,3.0,1589,-7.7359,-10.2989,-4.7448,-4.5369,-3.9324,50.7813
24.0,67.0,2.0,1589,0.6327,-6.5513,-5.3846,-4.6637,-2.0264,50.7813
24.0,69.0,2.0,1589,5.8438,4.8471,7.3331,7.0474,11.0234,50.7813
24.0,71.0,2.0,1589,-5.8557,-6.017,-5.8907,1.2462,-2.2773,50.7813
24.0,71.0,3.0,1589,-18.7943,-10.0144,-8.8921,-6.0809,-5.3519,50.7813
24.0,72.0,1.0,1589,-2.9951,-11.3969,-12.1837,-9.7125,-6.1753,50.7813
24.0,77.0,1.0,1589,-8.4869,-9.1694,-9.2738,-6.419,2.6841,50.7813
24.0,76.0,3.0,1589,-3.9656,0.7184,2.6901,-1.6076,4.5677,50.7813
24.0,76.0,2.0,1589,-0.6556,0.0602,-5.0932,-4.8205,0.8465,50.7813
24.0,76.0,1.0,1589,-0.9485,3.8496,4.8082,3.9581,-4.5143,50.7813
24.0,75.0,3.0,1589,2.2528,6.431,14.7028,16.5494,27.1619,50.7813
24.0,75.0,2.0,1589,4.5986,8.336,2.7571,7.8731,-5.2039,50.7813
24.0,75.0,1.0,1589,21.4642,21.6025,14.0065,4.1688,13.0834,50.7813
24.0,74.0,3.0,1589,-7.3419,-9.4825,-11.8899,-8.5643,-7.5185,50.7813
24.0,74.0,2.0,1589,0.9113,-4.7152,5.4075,11.5194,10.4786,50.7813
24.0,74.0,1.0,1589,-6.8789,-2.1582,6.9782,18.8876,27.0394,50.7813
24.0,73.0,3.0,1589,-0.2431,-11.4366,-13.3933,-13.8081,-7.7613,50.7813
24.0,73.0,2.0,1589,-2.8568,1.9173,3.1413,-2.8875,-4.8654,50.7813
24.0,73.0,1.0,1589,-27.4398,-32.1373,-31.0204,-28.0632,-38.5705,50.7813
24.0,72.0,3.0,1589,8.2928,11.6605,11.3115,17.8864,13.1973,50.7813
