subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
78.0,100.0,3.0,1589,7.6771,2.8917,5.8168,5.9876,4.3731,50.7813
78.0,71.0,1.0,1589,-17.4997,-15.174,-15.8898,-13.682,-14.6652,50.7813
78.0,70.0,3.0,1589,-7.4592,-9.2267,-8.2518,-6.556,-4.6963,50.7813
78.0,70.0,2.0,1589,12.2277,9.7838,9.4909,7.9805,5.2629,50.7813
78.0,70.0,1.0,1589,-4.9236,-0.1311,-2.1608,-0.6638,-2.717,50.7813
78.0,6.0,3.0,1589,6.3533,6.0618,4.4333,2.5727,3.6939,50.7813
78.0,6.0,2.0,1589,-2.2876,-3.3999,-5.2567,-7.0612,-4.1484,50.7813
78.0,71.0,2.0,1589,25.5218,17.3112,18.6467,20.5272,21.7842,50.7813
78.0,6.0,1.0,1589,-8.1006,-10.0496,-7.2898,-6.2475,-6.1417,50.7813
78.0,69.0,2.0,1589,10.16,8.3985,12.1244,9.0821,7.564,50.7813
78.0,69.0,1.0,1589,-27.7505,-24.2591,-21.2493,-16.502,-17.5086,50.7813
78.0,68.0,3.0,1589,3.5505,4.3247,5.4749,4.2622,6.2449,50.7813
78.0,68.0,2.0,1589,-9.8158,-11.8091,-12.9417,-14.1827,-13.0557,50.7813
78.0,68.0,1.0,1589,13.7712,18.5185,18.215,14.1826,15.8563,50.7813
78.0,67.0,3.0,1589,6.7689,4.8445,3.355,5.9298,7.5772,50.7813
78.0,69.0,3.0,1589,12.1194,11.9242,9.3895,4.4504,0.5587,50.7813
78.0,67.0,2.0,1589,11.6125,13.0522,12.3555,7.6057,5.6605,50.7813
78.0,71.0,3.0,1589,5.178,5.8855,7.4063,4.5356,5.1544,50.7813
78.0,72.0,2.0,1589,-14.9882,-16.2779,-13.5696,-14.0656,-14.9058,50.7813
78.0,77.0,1.0,1589,-20.0199,-16.4565,-15.3279,-14.8635,-16.0217,50.7813
78.0,76.0,3.0,1589,0.9417,-1.7462,0.1883,3.0276,6.035,50.7813
78.0,76.0,2.0,1589,-3.6393,-2.6393,-0.5552,2.035,-1.7741,50.7813
78.0,76.0,1.0,1589,-13.9218,-14.6948,-16.6783,-13.7756,-10.8769,50.7813
78.0,75.0,3.0,1589,22.5056,20.3194,15.0664,13.9938,11.2601,50.7813
78.0,75.0,2.0,1589,1.3966,0.1006,3.0492,1.7747,3.1107,50.7813
78.0,72.0,1.0,1589,-6.3081,-9.756,-7.356,-5.9284,-3.3642,50.7813
78.0,75.0,1.0,1589,1.3324,0.9493,1.6727,0.9123,0.8363,50.7813
78.0,74.0,2.0,1589,2.3358,2.5901,1.4061,5.7971,7.4849,50.7813
78.0,74.0,1.0,1589,12.5877,12.5769,15.6592,9.4241,5.9073,50.7813
78.0,73.0,3.0,1589,-3.7802,-1.8578,-2.576,2.7171,4.9319,50.7813
78.0,73.0,2.0,1589,16.0279,14.9288,12.8348,9.0517,7.8582,50.7813
78.0,73.0,1.0,1589,-13.1361,-12.3866,-11.5233,-8.8549,-7.3018,50.7813
78.0,72.0,3.0,1589,-1.7434,-4.3981,-6.1296,-7.0581,-5.4243,50.7813
78.0,74.0,3.0,1589,-13.4859,-16.6928,-14.1756,-12.6313,-12.1729,50.7813
78.0,77.0,3.0,1589,-4.1681,-2.8324,-2.1452,0.7919,2.5083,50.7813
78.0,67.0,1.0,1589,4.4331,6.1303,5.4589,4.159,4.5067,50.7813
78.0,66.0,2.0,1589,17.2457,16.3468,16.2251,16.7772,12.3993,50.7813
78.0,5.0,3.0,1589,-7.2102,-5.0511,-3.0284,-2.0896,-1.5221,50.7813
78.0,5.0,2.0,1589,24.2078,23.846,26.587,19.7982,19.5203,50.7813
78.0,5.0,1.0,1589,-5.5991,-7.6623,-6.8785,-8.1075,-9.8735,50.7813
78.0,59.0,3.0,1589,-0.6777,1.1132,-0.4839,2.9981,2.7247,50.7813
78.0,59.0,2.0,1589,-7.8903,-10.223,-8.9596,-4.9446,2.3419,50.7813
78.0,59.0,1.0,1589,2.7815,1.0186,1.9899,1.0772,2.7296,50.7813
78.0,60.0,1.0,1589,22.9134,20.3114,18.7139,18.9277,16.704,50.7813
78.0,58.0,3.0,1589,9.3589,9.181,6.9095,7.3281,6.7604,50.7813
78.0,58.0,1.0,1589,14.5725,11.7578,6.1692,5.4142,5.7027,50.7813
78.0,57.0,3.0,1589,-11.611,-8.3431,-10.5543,-5.1518,-2.2126,50.7813
78.0,57.0,2.0,1589,10.8717,12.097,10.3475,7.8157,6.2848,50.7813
78.0,57.0,1.0,1589,5.1045,8.6244,6.5805,9.9321,9.1817,50.7813
78.0,56.0,3.0,1589,-8.6079,-10.4784,-7.5915,-8.2744,-8.9105,50.7813
78.0,56.0,1.0,1589,7.0665,9.2458,12.7903,14.1348,12.6994,50.7813
78.0,58.0,2.0,1589,-1.9125,0.3082,0.734,-1.1336,-5.5207,50.7813
78.0,66.0,3.0,1589,8.6377,6.1015,5.7679,5.9453,4.3312,50.7813
78.0,60.0,2.0,1589,2.5741,0.0873,-2.4939,0.6582,2.1825,50.7813
78.0,61.0,1.0,1589,-4.7623,-3.9296,-4.2769,-0.5262,2.5703,50.7813
78.0,66.0,1.0,1589,4.0708,5.6038,7.1198,8.0436,7.7353,50.7813
78.0,65.0,3.0,1589,-20.5873,-18.6741,-21.5292,-17.0393,-16.9406,50.7813
78.0,65.0,2.0,1589,-7.97,-2.0087,-3.3859,-4.2986,-5.57,50.7813
78.0,65.0,1.0,1589,3.6217,5.1447,8.2428,9.6832,10.5327,50.7813
78.0,64.0,3.0,1589,5.7187,6.1463,3.8436,4.5357,2.0834,50.7813
78.0,64.0,1.0,1589,0.0855,-0.5257,0.2396,1.5616,1.7111,50.7813
78.0,60.0,3.0,1589,-13.7166,-12.4807,-15.3032,-13.1257,-10.5626,50.7813
78.0,63.0,3.0,1589,-2.3465,0.9174,1.4891,1.0685,1.0256,50.7813
78.0,63.0,1.0,1589,-4.1258,-4.1627,-1.6243,-0.8456,-1.7193,50.7813
78.0,62.0,3.0,1589,-10.0904,-10.2341,-4.3266,-3.9978,-6.1486,50.7813
78.0,62.0,2.0,1589,-0.1352,1.1143,0.86,-5.2557,-1.1997,50.7813
78.0,62.0,1.0,1589,11.066,11.9187,10.9987,8.2011,6.4003,50.7813
78.0,61.0,3.0,1589,11.9572,9.8662,9.1808,9.6591,8.7862,50.7813
78.0,61.0,2.0,1589,13.8484,16.902,13.2484,9.459,6.9153,50.7813
78.0,63.0,2.0,1589,2.8789,4.8763,3.7634,4.8294,5.5684,50.7813
78.0,55.0,3.0,1589,-7.5217,-5.1316,-5.6639,-4.4251,-4.9884,50.7813
78.0,78.0,1.0,1589,18.379,16.3614,19.0606,17.2518,16.9829,50.7813
78.0,79.0,1.0,1589,-9.9032,-4.6327,-8.0675,-7.3867,-6.6916,50.7813
78.0,94.0,1.0,1589,-12.8219,-17.0506,-16.1944,-14.0334,-11.5794,50.7813
78.0,93.0,3.0,1589,-4.9913,-1.383,1.1606,4.4857,5.618,50.7813
