subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
30.0,100.0,1.0,1589,56.1359,26.9634,18.7389,26.2259,16.8496,50.7813
30.0,66.0,3.0,1589,19.4058,11.7764,10.4742,18.5442,18.2427,50.7813
30.0,67.0,1.0,1589,4.7001,-0.7913,-2.1116,-4.3165,4.0684,50.7813
30.0,67.0,2.0,1589,12.4639,12.1435,18.6366,28.4044,31.8799,50.7813
30.0,67.0,3.0,1589,-17.51,-19.7123,-25.7218,-22.4316,-15.0486,50.7813
30.0,68.0,1.0,1589,4.7001,-0.7913,-2.1116,-4.3165,4.0684,50.7813
30.0,68.0,2.0,1589,1.249,6.0727,8.054,9.0968,8.0156,50.7813
30.0,68.0,3.0,1589,1.3621,4.515,5.8333,4.0848,3.351,50.7813
30.0,69.0,1.0,1589,32.6309,35.7284,37.9201,42.9791,38.6908,50.7813
30.0,69.0,2.0,1589,-16.6725,-16.397,-17.5384,-16.9593,-14.3022,50.7813
30.0,69.0,3.0,1589,7.5475,5.4084,5.1653,-0.3578,-1.2858,50.7813
30.0,6.0,1.0,1589,-8.802,-9.1565,-12.9473,-12.1968,-8.3366,50.7813
30.0,6.0,2.0,1589,-14.1063,-9.6066,-6.7809,-2.8745,-5.1022,50.7813
30.0,6.0,3.0,1589,-19.0622,-17.0586,-15.6293,-10.3469,-5.0486,50.7813
30.0,70.0,1.0,1589,-5.5187,0.1478,2.932,4.8319,8.3935,50.7813
30.0,70.0,2.0,1589,-4.8706,-9.4171,-11.575,-10.3777,-7.0876,50.7813
30.0,70.0,3.0,1589,8.0359,8.74,8.54,6.1496,3.5099,50.7813
30.0,71.0,1.0,1589,24.2703,16.6445,16.3298,18.3469,19.2477,50.7813
30.0,75.0,3.0,1589,35.3292,34.0618,30.8291,30.6973,26.186,50.7813
30.0,75.0,2.0,1589,14.6617,14.2332,10.302,7.5596,0.9848,50.7813
30.0,75.0,1.0,1589,22.3961,4.3335,-2.4945,0.1831,-1.6785,50.7813
30.0,74.0,3.0,1589,2.4922,3.5904,2.7925,2.9135,0.4717,50.7813
30.0,74.0,2.0,1589,15.2397,14.653,10.7983,8.1357,1.553,50.7813
30.0,74.0,1.0,1589,27.1332,25.579,28.534,29.9058,24.2971,50.7813
30.0,66.0,2.0,1589,-19.202,-21.0158,-24.242,-27.6932,-24.9603,50.7813
30.0,73.0,3.0,1589,8.5218,18.6824,24.1773,25.1017,26.2181,50.7813
30.0,73.0,1.0,1589,-6.7656,-2.3822,-0.9914,1.7606,6.3127,50.7813
30.0,72.0,3.0,1589,29.5097,25.4628,23.4718,22.2386,16.5349,50.7813
30.0,72.0,2.0,1589,31.0877,30.5827,26.5366,25.4797,20.1071,50.7813
30.0,72.0,1.0,1589,-13.4513,-9.6166,-8.5486,-4.5228,0.4626,50.7813
30.0,71.0,3.0,1589,29.5097,25.4628,23.4718,22.2386,16.5349,50.7813
30.0,71.0,2.0,1589,-4.8706,-9.4171,-11.575,-10.3777,-7.0876,50.7813
30.0,73.0,2.0,1589,-20.0996,-24.6596,-25.1426,-21.1346,-16.053,50.7813
30.0,66.0,1.0,1589,-3.9474,-8.7144,-11.172,-13.0555,-8.1571,50.7813
