subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
62.0,10.0,1.0,1589,-5.7893,-7.3285,-0.0614,10.9499,12.1192,50.7813
62.0,71.0,2.0,1589,2.0121,6.8691,9.2809,-0.6819,-15.7104,50.7813
62.0,71.0,1.0,1589,-4.3543,-4.6297,-7.389,-13.342,-16.6802,50.7813
62.0,70.0,3.0,1589,-15.4295,-23.3174,-23.5151,-23.5436,-20.996,50.7813
62.0,70.0,2.0,1589,5.5978,10.1361,17.4683,24.3558,34.3204,50.7813
62.0,6.0,3.0,1589,-0.2047,2.5568,6.9962,-0.5686,-9.8665,50.7813
62.0,6.0,2.0,1589,1.896,5.4606,6.5445,7.907,14.5781,50.7813
62.0,71.0,3.0,1589,-6.3586,-4.9406,-15.2901,-16.4482,-10.0278,50.7813
62.0,6.0,1.0,1589,7.9153,7.8367,1.2903,-5.6391,-10.1246,50.7813
62.0,69.0,2.0,1589,-5.7147,-0.0165,4.4742,6.7517,13.5436,50.7813
62.0,68.0,3.0,1589,-7.7353,-8.9646,-24.2893,-35.9744,-44.2971,50.7813
62.0,68.0,2.0,1589,-12.9676,-13.9814,-14.4612,-11.0898,-6.1302,50.7813
62.0,67.0,3.0,1589,-6.8302,-3.8183,0.3745,2.702,2.5624,50.7813
62.0,67.0,2.0,1589,-35.0,-31.9405,-27.4269,-28.7547,-24.2224,50.7813
62.0,67.0,1.0,1589,-2.5625,-4.391,-11.816,-15.8673,-16.3257,50.7813
62.0,69.0,3.0,1589,-11.6666,-11.4727,-8.3746,-4.9656,-7.5746,50.7813
62.0,66.0,3.0,1589,-5.5096,-7.0454,0.9667,2.2129,16.1309,50.7813
62.0,72.0,1.0,1589,-2.5294,-8.7778,-13.4103,-21.9933,-23.0197,50.7813
62.0,72.0,3.0,1589,6.0312,12.7304,18.9731,30.8881,31.8537,50.7813
62.0,77.0,3.0,1589,-14.6372,-24.9214,-30.5881,-34.2955,-37.2418,50.7813
62.0,77.0,2.0,1589,-6.4358,-8.1015,-9.8131,-11.1904,-8.3338,50.7813
62.0,77.0,1.0,1589,9.0279,8.4745,-2.9308,-6.0766,-10.1553,50.7813
62.0,76.0,3.0,1589,3.7851,3.9722,0.2076,-1.3792,-4.3224,50.7813
62.0,76.0,2.0,1589,-5.1246,-3.494,-4.767,-11.6547,-24.0368,50.7813
62.0,76.0,1.0,1589,-9.7324,-17.1282,-22.5192,-33.1698,-38.113,50.7813
62.0,72.0,2.0,1589,10.0637,17.7262,22.1581,21.3605,18.8964,50.7813
62.0,75.0,3.0,1589,0.5475,3.5327,1.8666,-0.7443,-6.8216,50.7813
62.0,75.0,1.0,1589,-11.5012,-6.3675,-1.2051,3.1773,9.5403,50.7813
62.0,74.0,3.0,1589,-6.8257,-8.7799,-14.6246,-16.617,-27.3,50.7813
62.0,74.0,2.0,1589,3.4709,2.1013,5.9876,11.2244,15.582,50.7813
62.0,74.0,1.0,1589,-1.5571,-7.5967,-7.0617,-11.3574,-5.8422,50.7813
62.0,73.0,2.0,1589,-6.6237,-13.719,-12.0659,-13.4769,-10.9192,50.7813
62.0,73.0,1.0,1589,-8.0528,-9.2171,-19.7516,-23.9287,-35.9475,50.7813
62.0,75.0,2.0,1589,-20.2737,-21.4391,-23.7398,-19.2573,-19.9101,50.7813
62.0,78.0,2.0,1589,-8.3204,-13.0447,-16.1045,-19.3808,-14.7908,50.7813
62.0,66.0,2.0,1589,3.186,-5.3067,-21.2634,-26.8606,-28.3608,50.7813
62.0,65.0,3.0,1589,6.2323,11.1987,17.9223,27.0305,33.7178,50.7813
62.0,5.0,2.0,1589,-10.2145,-5.1694,-5.0812,-4.2698,-7.7538,50.7813
62.0,5.0,1.0,1589,-7.5492,-4.5894,0.0786,3.5595,5.0285,50.7813
62.0,59.0,3.0,1589,-7.9035,-3.8745,1.1215,8.5296,11.3266,50.7813
62.0,59.0,2.0,1589,-8.0022,-8.4706,-2.3077,9.6839,17.9179,50.7813
62.0,59.0,1.0,1589,4.2439,4.9029,8.3943,9.5164,6.6515,50.7813
62.0,58.0,3.0,1589,-2.981,1.8022,2.2989,2.8613,0.0047,50.7813
62.0,5.0,3.0,1589,2.297,2.8957,2.208,-5.2467,-8.5743,50.7813
62.0,58.0,2.0,1589,-5.1593,-3.5233,-0.4136,5.9285,13.8082,50.7813
62.0,57.0,3.0,1589,-3.5585,-0.4323,2.7739,6.0324,9.3521,50.7813
62.0,57.0,2.0,1589,9.0262,4.9297,-0.9176,-2.8228,-3.6031,50.7813
62.0,57.0,1.0,1589,13.4191,11.4476,13.2071,17.1567,14.7871,50.7813
62.0,56.0,3.0,1589,2.6679,2.9754,0.2245,8.3767,7.3362,50.7813
62.0,56.0,2.0,1589,-4.0231,-3.8119,-7.6973,-11.5403,4.6312,50.7813
62.0,56.0,1.0,1589,-12.4037,-9.9525,-8.7901,-4.7697,-3.4517,50.7813
62.0,58.0,1.0,1589,-1.5542,-4.1438,-3.9052,2.3067,7.9567,50.7813
62.0,66.0,1.0,1589,-0.2985,-2.6591,-6.7496,-3.9864,-2.7657,50.7813
62.0,60.0,1.0,1589,10.9923,15.9464,23.237,29.1108,26.141,50.7813
62.0,60.0,3.0,1589,-3.227,3.5296,11.7846,11.6142,7.9129,50.7813
62.0,65.0,2.0,1589,3.8044,5.9029,5.1128,12.2087,16.7093,50.7813
62.0,65.0,1.0,1589,0.7099,1.3428,7.1731,14.8749,26.4564,50.7813
62.0,64.0,3.0,1589,-0.2928,-5.8433,-11.4458,-13.0441,-14.2725,50.7813
62.0,64.0,2.0,1589,-7.9362,-5.9265,-5.9613,-6.6501,-2.5263,50.7813
62.0,64.0,1.0,1589,4.368,9.8099,15.1428,18.363,8.7102,50.7813
62.0,63.0,3.0,1589,-22.8147,-18.3452,-7.8464,-0.7821,3.3639,50.7813
62.0,60.0,2.0,1589,-5.5987,-0.5098,3.9713,7.6585,10.5521,50.7813
62.0,63.0,2.0,1589,-10.0637,-8.3942,-1.312,-0.0436,-0.0724,50.7813
62.0,62.0,3.0,1589,8.2093,7.333,5.8217,1.0993,6.0507,50.7813
62.0,62.0,2.0,1589,-2.7456,-3.5583,-1.0439,1.205,0.8308,50.7813
62.0,62.0,1.0,1589,8.842,4.6405,-0.206,-4.3585,-9.6932,50.7813
62.0,61.0,3.0,1589,-8.6228,-4.2043,-14.029,-17.9117,-13.2027,50.7813
62.0,61.0,2.0,1589,-17.0067,-25.182,-33.285,-42.3821,-50.8012,50.7813
62.0,61.0,1.0,1589,11.9965,9.4474,6.7067,1.8908,-4.9608,50.7813
62.0,63.0,1.0,1589,7.6734,6.7959,8.1207,5.4813,7.4619,50.7813
62.0,55.0,3.0,1589,3.6909,5.5526,2.3112,4.1566,1.4693,50.7813
62.0,78.0,3.0,1589,-14.2021,-16.0694,-17.7346,-14.6216,-10.5986,50.7813
