subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
53.0,100.0,3.0,1589,-13.702,-13.8385,-19.2056,-11.2787,-9.267,50.7813
53.0,66.0,3.0,1589,3.0391,-2.9285,0.0114,4.5489,10.2754,50.7813
53.0,67.0,1.0,1589,22.3163,20.8863,21.7907,22.2134,22.3886,50.7813
53.0,67.0,2.0,1589,10.7057,8.0487,4.5393,-4.0438,-5.5361,50.7813
53.0,67.0,3.0,1589,-15.1463,-18.4851,-26.8506,-14.1042,-11.1247,50.7813
53.0,68.0,1.0,1589,4.8152,7.0199,11.1678,10.1483,4.1251,50.7813
53.0,69.0,1.0,1589,-4.4434,-6.6983,-2.693,-3.3282,1.0399,50.7813
53.0,69.0,2.0,1589,19.589,15.9088,13.3451,8.9949,7.7683,50.7813
53.0,6.0,1.0,1589,-0.423,-4.2021,-4.0403,-4.4654,-2.8213,50.7813
53.0,6.0,2.0,1589,24.0226,26.6001,24.7759,21.2435,17.7166,50.7813
53.0,6.0,3.0,1589,12.5216,15.2344,18.9455,21.7656,22.0353,50.7813
53.0,70.0,1.0,1589,-0.8375,3.4235,8.3182,13.2311,17.8068,50.7813
53.0,70.0,2.0,1589,1.5919,-2.9672,-3.1939,-0.6018,-0.8286,50.7813
53.0,71.0,1.0,1589,6.7205,7.9163,-2.0864,-5.2065,-7.4558,50.7813
53.0,71.0,2.0,1589,-21.9216,-20.2278,-19.4072,-18.7699,-13.0756,50.7813
53.0,71.0,3.0,1589,13.8296,18.2024,24.6181,24.9263,20.7904,50.7813
53.0,72.0,1.0,1589,-2.764,-7.3216,-9.6299,-5.3081,-3.4356,50.7813
53.0,72.0,2.0,1589,11.6522,12.1022,5.3033,1.0357,1.3525,50.7813
53.0,77.0,1.0,1589,4.8244,4.8642,5.334,8.5695,11.7,50.7813
53.0,76.0,3.0,1589,-3.7814,-3.9188,1.7155,4.9516,2.7761,50.7813
53.0,76.0,2.0,1589,12.9786,15.2144,15.8228,13.4735,9.8966,50.7813
53.0,76.0,1.0,1589,5.2391,2.148,1.5522,-3.5232,-3.946,50.7813
53.0,75.0,3.0,1589,17.4266,11.9345,5.7055,5.7748,8.7239,50.7813
53.0,75.0,2.0,1589,-2.9957,-7.4176,-9.9299,-11.1781,-9.1544,50.7813
53.0,66.0,1.0,1589,-15.0522,-15.3074,-7.0957,0.3907,0.696,50.7813
53.0,75.0,1.0,1589,-9.8738,-9.5388,-12.1647,-12.5243,-12.3774,50.7813
53.0,74.0,2.0,1589,-14.2897,-14.1052,-16.2067,-17.497,-15.9486,50.7813
53.0,74.0,1.0,1589,-23.5248,-18.9562,-11.7648,-12.6123,-9.3421,50.7813
53.0,73.0,3.0,1589,-13.7271,-16.1802,-21.0918,-20.8049,-18.2003,50.7813
53.0,73.0,2.0,1589,0.9648,-4.9129,-10.2856,-15.437,-12.3344,50.7813
53.0,73.0,1.0,1589,10.9733,12.7335,7.3766,2.9856,2.9122,50.7813
53.0,72.0,3.0,1589,4.6435,9.9021,29.099,12.4568,8.3785,50.7813
53.0,74.0,3.0,1589,-3.6978,2.4484,9.667,10.2615,7.4245,50.7813
53.0,77.0,3.0,1589,16.5484,21.2678,22.448,22.2576,24.6475,50.7813
53.0,65.0,3.0,1589,-28.9738,-26.6923,-25.6387,-20.5092,-16.1943,50.7813
53.0,65.0,1.0,1589,23.7476,12.3655,5.8611,5.9225,2.5136,50.7813
53.0,54.0,3.0,1589,-6.1936,-5.3475,-0.7789,1.6687,6.0115,50.7813
53.0,55.0,1.0,1589,12.0068,10.8614,10.4158,9.2229,8.7414,50.7813
53.0,55.0,2.0,1589,9.1399,7.8823,6.5987,7.6221,4.2068,50.7813
53.0,55.0,3.0,1589,-0.2606,4.3352,6.1137,5.5662,5.3097,50.7813
53.0,56.0,1.0,1589,14.8609,20.652,18.1327,14.0958,10.0013,50.7813
53.0,56.0,2.0,1589,12.9442,19.1938,22.0543,18.8329,11.8976,50.7813
53.0,56.0,3.0,1589,12.7597,10.2358,2.7084,-1.8922,-9.8367,50.7813
53.0,57.0,1.0,1589,-12.1419,-13.8185,-18.5606,-23.4013,-21.204,50.7813
53.0,57.0,2.0,1589,4.3781,8.102,13.8788,16.7172,17.3197,50.7813
53.0,58.0,1.0,1589,-1.5866,-1.6067,-4.8897,-4.9246,-7.2602,50.7813
53.0,58.0,2.0,1589,12.2923,6.3473,-1.1758,1.1332,1.3184,50.7813
53.0,58.0,3.0,1589,-7.0345,-15.6164,-17.2449,-14.775,-15.7523,50.7813
53.0,59.0,1.0,1589,5.8,9.7587,11.573,16.3687,15.3247,50.7813
53.0,59.0,2.0,1589,-0.6226,7.6997,17.1437,20.5293,14.6072,50.7813
53.0,59.0,3.0,1589,-23.2932,-17.5058,-8.6186,1.2775,9.3114,50.7813
53.0,5.0,1.0,1589,9.6561,10.5158,6.6211,4.4301,0.2138,50.7813
53.0,5.0,2.0,1589,-19.4164,-20.2954,-23.7455,-23.9628,-20.0141,50.7813
53.0,64.0,3.0,1589,3.9157,8.0978,9.4276,5.1785,0.7737,50.7813
53.0,64.0,2.0,1589,6.0936,1.6855,-1.9175,-5.4442,-7.8769,50.7813
53.0,63.0,3.0,1589,7.5881,3.0917,0.8323,-2.3176,-6.8472,50.7813
53.0,63.0,2.0,1589,-5.0022,-10.5315,-9.2403,-10.7429,-8.8171,50.7813
53.0,63.0,1.0,1589,-4.4651,-3.3312,-5.5473,-3.8005,-1.3838,50.7813
53.0,62.0,3.0,1589,-16.5642,-20.3339,-11.1106,-7.9442,-11.0296,50.7813
53.0,65.0,2.0,1589,7.873,9.3682,3.6065,-1.9913,-7.9608,50.7813
53.0,62.0,2.0,1589,8.211,10.9504,11.8679,9.7168,8.0033,50.7813
53.0,61.0,3.0,1589,7.5011,10.882,9.2099,5.2736,-2.2217,50.7813
53.0,61.0,2.0,1589,3.7727,1.1262,-1.3017,-2.6148,-0.8475,50.7813
