subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
68.0,100.0,1.0,1589,-5.4751,-6.1482,-7.3397,-16.3576,-0.1417,50.7813
68.0,71.0,1.0,1589,-1.3795,-0.8774,-0.1874,-5.6154,8.2825,50.7813
68.0,70.0,3.0,1589,-6.9828,-9.0135,-8.4489,9.2104,1.2565,50.7813
68.0,70.0,2.0,1589,17.0716,15.4816,15.9689,11.662,5.5582,50.7813
68.0,70.0,1.0,1589,-4.4823,-0.9296,1.6017,-2.9015,-8.6873,50.7813
68.0,6.0,3.0,1589,1.2154,3.4538,11.6313,2.9957,7.7906,50.7813
68.0,6.0,2.0,1589,-11.1024,-14.36,-15.4971,-15.925,-18.6747,50.7813
68.0,71.0,2.0,1589,3.882,6.0565,10.0214,14.2369,4.0241,50.7813
68.0,6.0,1.0,1589,-0.1332,4.785,5.586,16.6158,1.0518,50.7813
68.0,69.0,2.0,1589,17.8837,22.9328,28.248,21.6641,10.841,50.7813
68.0,69.0,1.0,1589,-10.3635,-8.3969,-10.9389,-15.1892,-9.6709,50.7813
68.0,68.0,3.0,1589,-2.2483,-4.7712,-6.0621,-11.2397,-15.4598,50.7813
68.0,68.0,2.0,1589,10.308,13.6796,17.174,7.7281,20.2065,50.7813
68.0,68.0,1.0,1589,13.4871,14.2863,13.1737,15.9516,15.2665,50.7813
68.0,67.0,3.0,1589,16.1177,17.0228,18.8035,5.1171,12.7398,50.7813
68.0,69.0,3.0,1589,-0.6067,0.5969,-2.2343,4.3591,1.6325,50.7813
68.0,67.0,2.0,1589,-10.7497,-12.1775,-18.7684,-22.4236,-8.8681,50.7813
68.0,71.0,3.0,1589,3.7487,2.0375,3.6251,-5.4771,-12.0576,50.7813
68.0,72.0,2.0,1589,-6.1857,-5.3254,-2.9078,-3.0161,-11.5635,50.7813
68.0,77.0,1.0,1589,1.7425,6.2218,8.1779,6.9724,1.6466,50.7813
68.0,76.0,3.0,1589,-5.01,-6.8408,-0.1628,2.4901,6.5941,50.7813
68.0,76.0,2.0,1589,-21.3376,-23.4846,-20.934,-29.6359,-17.9548,50.7813
68.0,76.0,1.0,1589,7.5544,8.1373,1.7397,10.094,9.0354,50.7813
68.0,75.0,3.0,1589,-2.5931,-9.7433,-13.6487,-18.4234,-10.7666,50.7813
68.0,75.0,2.0,1589,-4.6296,-9.0062,-9.543,-7.6895,-6.459,50.7813
68.0,72.0,1.0,1589,-9.6007,-9.9717,-4.8227,-11.1701,-10.1148,50.7813
68.0,75.0,1.0,1589,0.1518,-1.22,3.848,14.3348,0.3429,50.7813
68.0,74.0,2.0,1589,9.8789,8.2126,-1.206,-1.9752,2.7836,50.7813
68.0,74.0,1.0,1589,-10.8851,-6.7532,-0.9741,-3.9158,-5.4608,50.7813
68.0,73.0,3.0,1589,15.594,14.7842,11.1562,1.2689,2.7926,50.7813
68.0,73.0,2.0,1589,-34.1374,-46.1223,-43.9112,-51.2635,-41.0379,50.7813
68.0,73.0,1.0,1589,-24.4139,-30.002,-31.4531,-29.6369,-25.4586,50.7813
68.0,72.0,3.0,1589,1.3876,-2.6352,-6.027,-6.2456,-5.1468,50.7813
68.0,74.0,3.0,1589,-9.9413,-8.4115,-7.878,2.6008,-2.7599,50.7813
68.0,77.0,2.0,1589,3.77,9.0663,3.9928,-4.7359,4.6098,50.7813
68.0,67.0,1.0,1589,1.4767,3.3281,6.5677,5.3983,5.2357,50.7813
68.0,66.0,1.0,1589,-7.5548,-9.6107,-14.0472,-9.8003,-16.3701,50.7813
68.0,5.0,3.0,1589,-8.1922,-8.7019,-4.1967,6.6717,-6.5665,50.7813
68.0,5.0,2.0,1589,-0.6117,-0.2298,3.5783,10.1104,10.3526,50.7813
68.0,5.0,1.0,1589,-6.8305,-11.1397,-7.6896,-9.8998,-10.9264,50.7813
68.0,59.0,3.0,1589,-9.6221,-17.7205,-21.2191,-19.0738,-13.4295,50.7813
68.0,59.0,2.0,1589,-1.6644,1.1578,5.3902,-4.7178,8.6043,50.7813
68.0,59.0,1.0,1589,35.1311,51.6451,56.2743,58.7232,59.9995,50.7813
68.0,60.0,1.0,1589,-4.4866,-3.9573,-7.5093,-2.5586,-3.4303,50.7813
68.0,58.0,3.0,1589,-6.2399,-6.4769,-0.5562,-6.2607,7.0389,50.7813
68.0,58.0,1.0,1589,3.2543,1.8382,-0.3394,-0.1776,-0.5087,50.7813
68.0,57.0,3.0,1589,20.4696,23.1577,22.3271,4.572,9.3079,50.7813
68.0,57.0,2.0,1589,3.7005,11.7688,16.5506,14.7607,15.4097,50.7813
68.0,57.0,1.0,1589,11.7221,15.2441,17.5567,11.6737,7.2719,50.7813
68.0,56.0,3.0,1589,0.7726,-0.6138,-9.3679,-1.3061,-10.271,50.7813
68.0,56.0,2.0,1589,0.7791,-1.6805,-4.7206,3.1097,-0.2879,50.7813
68.0,58.0,2.0,1589,-2.38,-1.7622,2.8459,-3.7084,1.5862,50.7813
68.0,66.0,3.0,1589,-4.8192,-7.3893,-11.6285,-6.41,-1.9042,50.7813
68.0,60.0,2.0,1589,-9.3236,-8.4077,-6.6949,0.6209,-2.3084,50.7813
68.0,61.0,1.0,1589,17.7646,18.1396,19.429,16.5694,17.533,50.7813
68.0,65.0,3.0,1589,-7.9496,-13.128,-14.6384,-10.4725,-8.192,50.7813
68.0,65.0,2.0,1589,12.1948,17.6675,13.9706,12.17,9.9337,50.7813
68.0,65.0,1.0,1589,-1.5665,-1.6737,1.4228,-3.4068,-8.1305,50.7813
68.0,64.0,3.0,1589,-14.4089,-9.4077,-3.3352,4.7128,6.7682,50.7813
68.0,64.0,2.0,1589,-13.0412,-12.2852,-9.4771,0.1448,0.7164,50.7813
68.0,64.0,1.0,1589,2.97,1.9593,-0.2159,1.4601,-1.2272,50.7813
68.0,60.0,3.0,1589,-10.8614,-7.5759,-1.595,-8.7453,2.5184,50.7813
68.0,63.0,3.0,1589,9.9743,13.1102,14.5563,10.348,5.0222,50.7813
68.0,63.0,1.0,1589,2.5544,6.3097,5.9699,-1.7909,13.2871,50.7813
68.0,62.0,3.0,1589,2.2546,8.6574,15.3441,25.632,21.5703,50.7813
68.0,62.0,2.0,1589,-2.4679,2.0128,5.5332,-2.2827,-3.1135,50.7813
68.0,62.0,1.0,1589,3.2894,5.6904,7.8882,0.8003,-4.0744,50.7813
68.0,61.0,3.0,1589,11.6451,12.3991,13.521,19.8173,16.2575,50.7813
68.0,61.0,2.0,1589,-1.522,-9.5692,-4.1893,1.7445,-2.1709,50.7813
68.0,63.0,2.0,1589,-4.6952,-1.9933,-4.9559,-3.6231,6.0206,50.7813
68.0,78.0,1.0,1589,-4.0433,-10.2769,-6.1431,4.1028,-6.288,50.7813
68.0,78.0,2.0,1589,6.9302,10.1224,7.3598,18.6007,13.6382,50.7813
68.0,78.0,3.0,1589,-14.5942,-16.9883,-16.0086,-13.7733,-12.6613,50.7813
68.0,94.0,2.0,1589,-0.2668,-0.262,-3.0216,0.2796,-6.4052,50.7813
68.0,94.0,1.0,1589,-9.9741,-6.3556,-8.0635,-8.448,-2.435,50.7813
68.0,93.0,3.0,1589,-9.074,-10.528,-11.6856,-4.4098,1.3306,50.7813
68.0,93.0,2.0,1589,19.3602,22.5381,18.2572,23.5049,24.2272,50.7813
68.0,93.0,1.0,1589,9.4733,10.2985,9.0325,9.4265,6.5895,50.7813
68.0,92.0,3.0,1589,2.0122,2.7864,4.8655,16.3994,15.9301,50.7813
68.0,94.0,3.0,1589,-23.2381,-27.7384,-21.0443,-16.9911,-9.4631,50.7813
68.0,92.0,2.0,1589,16.4144,18.1997,19.4389,7.2474,11.146,50.7813
68.0,91.0,3.0,1589,-16.531,-20.384,-25.0054,-18.5419,-2.962,50.7813
