subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
79.0,100.0,1.0,1589,-8.8359,-13.6922,-14.3569,-20.3922,-26.5896,50.7813
79.0,71.0,1.0,1589,-9.7622,-14.6586,-19.2847,-25.9772,-27.2333,50.7813
79.0,70.0,3.0,1589,13.3597,18.8973,9.7708,10.2368,15.5168,50.7813
79.0,70.0,2.0,1589,9.5695,12.7822,14.1091,15.4411,12.652,50.7813
79.0,70.0,1.0,1589,10.0472,12.5217,2.7363,0.125,0.0751,50.7813
79.0,6.0,3.0,1589,5.0684,-4.1476,7.2351,10.9648,13.9155,50.7813
79.0,6.0,2.0,1589,1.1834,2.4357,7.9217,3.0319,1.1967,50.7813
79.0,71.0,2.0,1589,12.3101,14.2591,7.5068,22.0333,29.2148,50.7813
79.0,6.0,1.0,1589,-8.056,2.0533,-11.6489,-8.5822,-3.512,50.7813
79.0,69.0,2.0,1589,-27.6981,-26.3528,-18.1834,-15.2022,-10.2383,50.7813
79.0,69.0,1.0,1589,3.2734,7.8835,19.8283,17.4549,13.7231,50.7813
79.0,68.0,3.0,1589,24.1759,30.2251,18.5957,24.0337,16.9839,50.7813
79.0,68.0,2.0,1589,-10.0738,-20.9851,-8.2563,-11.6558,8.6969,50.7813
79.0,68.0,1.0,1589,6.5145,10.0987,3.2544,2.9246,5.7336,50.7813
79.0,67.0,3.0,1589,6.429,9.7621,10.3616,12.6934,4.5917,50.7813
79.0,69.0,3.0,1589,-1.3829,1.8818,-3.8925,1.3688,7.4865,50.7813
79.0,71.0,3.0,1589,0.6657,6.7473,22.4155,20.7539,20.6529,50.7813
79.0,72.0,1.0,1589,23.7148,34.9624,15.6147,7.4453,-8.1521,50.7813
79.0,72.0,2.0,1589,-10.0597,-25.0431,-8.7491,-5.2014,-1.1544,50.7813
79.0,77.0,2.0,1589,21.5616,13.8256,12.8404,8.9715,7.4634,50.7813
79.0,77.0,1.0,1589,12.3131,-1.4462,1.4027,-9.0887,-15.1037,50.7813
79.0,76.0,3.0,1589,-29.3918,-22.5757,-25.6078,-15.9267,-12.9052,50.7813
79.0,76.0,2.0,1589,9.317,18.8028,4.4654,-2.4008,-7.0578,50.7813
79.0,76.0,1.0,1589,-2.7575,-0.5286,1.839,5.8623,9.81,50.7813
79.0,75.0,3.0,1589,-1.6038,-0.4356,-2.0997,-2.6196,2.9598,50.7813
79.0,75.0,2.0,1589,11.8843,8.1898,-9.6286,-10.4749,-13.1089,50.7813
79.0,75.0,1.0,1589,-31.3827,-24.3093,-21.2722,-9.9504,1.2485,50.7813
79.0,74.0,3.0,1589,-16.7544,-0.5614,-3.8588,-7.1108,-4.7417,50.7813
79.0,74.0,2.0,1589,-14.2441,-22.3033,-22.8086,-31.2831,-22.5483,50.7813
79.0,74.0,1.0,1589,-20.0047,-10.2033,-2.9795,-4.9227,-0.5845,50.7813
79.0,73.0,3.0,1589,-33.5419,-30.9325,-11.7859,-2.5139,6.8106,50.7813
79.0,73.0,2.0,1589,31.6984,45.9931,23.6355,21.2948,25.0206,50.7813
79.0,73.0,1.0,1589,6.3217,4.917,0.2093,-12.5504,-22.8909,50.7813
79.0,72.0,3.0,1589,7.2285,5.8334,5.6321,10.7723,10.0385,50.7813
79.0,67.0,2.0,1589,-8.8789,-5.722,8.2449,4.2868,9.5549,50.7813
79.0,78.0,1.0,1589,-9.9851,-3.1406,-4.5092,7.7413,9.5853,50.7813
79.0,67.0,1.0,1589,8.811,4.9038,-8.4842,-22.4447,-30.2671,50.7813
79.0,66.0,2.0,1589,-4.9318,-13.3114,-8.5756,-13.2027,-14.6459,50.7813
79.0,5.0,3.0,1589,9.8288,13.994,6.7692,8.4504,14.5989,50.7813
79.0,5.0,2.0,1589,32.2192,34.8831,22.4313,15.2038,14.1577,50.7813
79.0,5.0,1.0,1589,-0.3702,-2.7068,9.8917,4.2991,6.5761,50.7813
79.0,59.0,3.0,1589,-3.5093,-5.6888,-20.7238,-8.5209,-8.6485,50.7813
79.0,59.0,2.0,1589,9.6243,-1.736,-1.2563,-5.6612,-13.1318,50.7813
79.0,59.0,1.0,1589,-5.8996,-8.6025,-10.1819,-5.9402,1.5664,50.7813
79.0,60.0,1.0,1589,-18.8712,-13.2612,15.8414,22.4352,25.0811,50.7813
79.0,58.0,3.0,1589,-10.7331,-1.0339,-4.2356,3.0778,-1.8135,50.7813
79.0,58.0,1.0,1589,-8.5909,-7.4808,-2.5828,-4.3384,-10.2206,50.7813
79.0,57.0,3.0,1589,11.9443,7.2905,3.455,0.1032,-5.5233,50.7813
79.0,57.0,1.0,1589,1.9837,3.4532,16.006,13.1361,13.101,50.7813
79.0,56.0,3.0,1589,3.1162,15.5887,15.8854,10.2145,8.3709,50.7813
79.0,56.0,1.0,1589,-13.3788,-17.7669,-8.2214,8.9976,16.663,50.7813
79.0,55.0,3.0,1589,10.624,12.2911,11.5059,10.9706,15.0476,50.7813
79.0,58.0,2.0,1589,36.1911,47.0016,15.9907,1.7172,0.5971,50.7813
79.0,60.0,2.0,1589,-13.3443,-14.0561,-19.646,-16.784,-20.1404,50.7813
79.0,60.0,3.0,1589,31.6099,9.4252,3.5614,-6.9909,-8.9324,50.7813
79.0,61.0,1.0,1589,4.4762,4.8061,11.3566,6.538,8.9285,50.7813
79.0,66.0,1.0,1589,-12.1751,-10.2515,3.0131,2.5478,-1.3531,50.7813
79.0,65.0,3.0,1589,-4.6297,-8.9874,2.5002,4.4509,4.3513,50.7813
79.0,65.0,2.0,1589,-5.709,9.5721,3.362,19.0219,23.1313,50.7813
79.0,65.0,1.0,1589,0.2216,8.7496,6.1074,6.5345,9.1448,50.7813
79.0,64.0,3.0,1589,-21.0732,-26.2436,-16.6138,-17.2302,-13.8386,50.7813
79.0,64.0,2.0,1589,14.7604,-5.6931,-0.7937,-0.8078,7.7284,50.7813
79.0,64.0,1.0,1589,0.328,12.0447,7.4037,4.7141,6.4362,50.7813
79.0,63.0,3.0,1589,-9.0293,-33.5719,-7.4971,3.8673,-2.3817,50.7813
79.0,63.0,2.0,1589,-12.1905,-17.6963,-19.3278,-17.4059,-11.3561,50.7813
79.0,63.0,1.0,1589,-8.9096,-2.6594,7.3184,5.1656,3.0687,50.7813
79.0,62.0,3.0,1589,11.3839,4.2387,4.7821,5.4256,-1.6601,50.7813
79.0,62.0,2.0,1589,11.9827,-8.2225,-1.9997,1.7968,0.2666,50.7813
79.0,62.0,1.0,1589,-9.4409,-23.74,-6.8443,1.3423,3.3679,50.7813
79.0,61.0,3.0,1589,-18.7197,2.2271,-11.5449,-7.8863,-4.7416,50.7813
79.0,61.0,2.0,1589,17.0937,19.1947,13.9985,10.5908,3.3601,50.7813
79.0,66.0,3.0,1589,3.361,8.0462,-11.7192,-10.5402,-12.5674,50.7813
79.0,55.0,1.0,1589,-20.873,-28.3431,-21.3449,-10.1653,-1.8498,50.7813
79.0,78.0,2.0,1589,-11.0243,9.7583,-8.8919,-19.3438,-19.4669,50.7813
79.0,79.0,1.0,1589,9.2245,-3.4589,-2.6301,-9.0874,-3.2166,50.7813
