subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
57.0,100.0,1.0,1589,16.0796,8.5323,6.3905,8.3719,5.2147,50.7813
57.0,70.0,2.0,1589,2.7778,-0.5522,-4.7039,-12.746,-13.2159,50.7813
57.0,70.0,1.0,1589,-2.055,3.1984,5.8717,9.334,8.0251,50.7813
57.0,6.0,3.0,1589,5.9914,5.1933,5.4816,10.7098,8.3534,50.7813
57.0,6.0,2.0,1589,-4.421,-6.0067,-8.0801,-9.9187,-11.74,50.7813
57.0,6.0,1.0,1589,5.6192,11.7588,15.7714,14.2727,11.0518,50.7813
57.0,69.0,3.0,1589,2.051,-1.9585,1.6336,5.4623,6.2497,50.7813
57.0,70.0,3.0,1589,7.094,0.8656,-0.5515,-8.9984,-6.5387,50.7813
57.0,69.0,2.0,1589,4.0222,1.4035,-1.9519,-3.647,1.9345,50.7813
57.0,68.0,3.0,1589,5.5483,9.8261,13.6285,19.3384,11.9353,50.7813
57.0,68.0,2.0,1589,-7.2639,-6.7717,-7.8905,-9.3075,-10.2332,50.7813
57.0,68.0,1.0,1589,-6.741,-4.455,-7.8865,-16.9337,-13.3299,50.7813
57.0,67.0,3.0,1589,-8.5495,-5.1858,-5.1878,-2.5714,0.9446,50.7813
57.0,67.0,2.0,1589,0.4566,6.7898,8.9375,13.3609,11.9828,50.7813
57.0,67.0,1.0,1589,6.5141,5.4575,6.8671,2.7069,5.7084,50.7813
57.0,69.0,1.0,1589,1.3906,-5.4452,-7.0907,-5.9621,-3.176,50.7813
57.0,66.0,3.0,1589,23.5426,16.2461,13.3523,18.6765,19.0522,50.7813
57.0,71.0,1.0,1589,-8.167,-5.2808,-5.4634,-3.3301,1.5361,50.7813
57.0,71.0,3.0,1589,32.8267,30.54,36.3179,41.9698,44.0126,50.7813
57.0,77.0,1.0,1589,1.0029,-5.6323,-9.041,-13.7695,-14.7053,50.7813
57.0,76.0,3.0,1589,1.1549,7.6631,8.213,14.7915,18.6147,50.7813
57.0,76.0,2.0,1589,4.5778,3.719,6.0742,3.2596,-3.1103,50.7813
