subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
58.0,100.0,3.0,1589,7.8763,11.4602,7.8676,2.3281,-1.1785,50.7813
58.0,71.0,2.0,1589,-10.6597,-14.3483,-19.5823,-18.135,-14.378,50.7813
58.0,71.0,1.0,1589,2.6935,2.4986,-3.9232,-9.5432,-10.3682,50.7813
58.0,70.0,3.0,1589,6.9954,8.8318,14.0704,17.506,14.4093,50.7813
58.0,70.0,2.0,1589,-1.9528,1.2047,1.2756,-0.6971,0.5869,50.7813
58.0,6.0,3.0,1589,5.1796,10.3606,10.3922,7.7061,8.984,50.7813
58.0,6.0,2.0,1589,-8.824,-5.9773,-4.2972,-3.4358,-1.6369,50.7813
58.0,71.0,3.0,1589,-3.8096,-6.6416,-3.7747,3.6105,3.2541,50.7813
58.0,6.0,1.0,1589,-9.2901,-10.413,-8.0351,-8.3005,-8.3547,50.7813
58.0,69.0,2.0,1589,-0.7797,-2.6522,-1.7111,-1.3934,2.0087,50.7813
58.0,69.0,1.0,1589,-0.3196,1.3837,0.0726,0.7373,3.8621,50.7813
58.0,68.0,3.0,1589,-4.283,-11.6631,-24.8449,-33.4972,-32.1088,50.7813
58.0,68.0,2.0,1589,3.5629,3.3828,1.9192,0.2036,-3.2519,50.7813
58.0,68.0,1.0,1589,-5.3411,-4.0437,1.1016,7.9008,13.8027,50.7813
58.0,67.0,3.0,1589,4.8337,3.9498,4.1324,1.9704,3.5085,50.7813
58.0,69.0,3.0,1589,-0.2299,7.0719,2.2489,-0.5636,-3.8998,50.7813
58.0,67.0,2.0,1589,-6.925,-4.6383,-4.9847,-9.3335,-8.3612,50.7813
58.0,72.0,2.0,1589,8.2683,8.8724,8.961,5.8515,6.9065,50.7813
58.0,73.0,1.0,1589,-0.1761,-3.5619,-7.6418,-10.2006,-11.5183,50.7813
58.0,77.0,3.0,1589,-17.8763,-18.0212,-14.4883,-8.6374,-8.8991,50.7813
58.0,77.0,2.0,1589,-0.8434,4.4959,8.5998,9.2403,9.1552,50.7813
58.0,77.0,1.0,1589,7.0361,12.5875,14.5847,13.7643,16.4769,50.7813
58.0,76.0,3.0,1589,18.2191,19.2131,14.4596,10.0702,9.8711,50.7813
58.0,76.0,2.0,1589,-18.9057,-17.9025,-19.2115,-17.6639,-12.2929,50.7813
58.0,76.0,1.0,1589,4.0307,10.0143,11.9921,10.9631,11.036,50.7813
58.0,72.0,3.0,1589,13.2756,10.6584,3.6863,5.1005,5.612,50.7813
58.0,75.0,3.0,1589,-4.9765,-2.367,-3.5601,2.1438,6.4358,50.7813
58.0,75.0,1.0,1589,-2.3593,-2.69,-4.222,-4.1023,-4.1859,50.7813
58.0,74.0,3.0,1589,-17.4955,-18.1584,-15.0271,-12.6081,-15.9365,50.7813
58.0,74.0,2.0,1589,7.0084,7.7748,0.4115,0.0032,3.4135,50.7813
58.0,74.0,1.0,1589,7.6212,7.3154,9.4244,11.4368,13.855,50.7813
58.0,73.0,3.0,1589,2.8106,3.663,6.9696,7.5183,7.7071,50.7813
58.0,73.0,2.0,1589,23.0627,24.4765,26.1276,22.4119,11.5925,50.7813
58.0,75.0,2.0,1589,15.1894,10.8201,4.9139,-0.4713,-0.6494,50.7813
58.0,78.0,2.0,1589,16.2401,11.617,6.4672,3.9982,4.8682,50.7813
58.0,67.0,1.0,1589,7.7433,3.692,-1.8868,-7.5555,-10.1717,50.7813
58.0,66.0,2.0,1589,-3.9716,-6.3046,-4.5698,-4.097,-3.583,50.7813
58.0,5.0,2.0,1589,7.6166,3.073,3.4823,4.3505,2.8092,50.7813
58.0,5.0,1.0,1589,2.3065,-1.2905,-1.7576,-3.7382,-3.6958,50.7813
58.0,59.0,3.0,1589,10.4566,8.5197,-2.6791,-10.3959,-11.6072,50.7813
58.0,59.0,2.0,1589,0.5145,0.7486,2.9141,2.5679,4.8407,50.7813
58.0,59.0,1.0,1589,-7.2249,-4.7395,-1.6856,4.1681,9.0352,50.7813
58.0,58.0,3.0,1589,6.4133,12.3848,11.7791,15.9947,17.1931,50.7813
58.0,5.0,3.0,1589,3.1864,-1.2717,-1.1762,-1.6243,-3.6787,50.7813
58.0,58.0,2.0,1589,3.7677,3.3706,-3.3377,-7.0929,-5.6139,50.7813
58.0,57.0,3.0,1589,0.0992,4.3029,5.5193,4.8672,4.9337,50.7813
58.0,57.0,2.0,1589,-1.4422,0.7637,-4.3871,-5.388,-4.002,50.7813
58.0,57.0,1.0,1589,-12.1729,-8.8252,-10.2115,-8.0153,-11.6551,50.7813
58.0,56.0,3.0,1589,7.2701,7.9639,10.5845,14.7152,15.393,50.7813
58.0,56.0,2.0,1589,-7.2316,-7.5253,-5.3152,-3.1462,-2.203,50.7813
58.0,56.0,1.0,1589,10.2198,9.7468,5.4204,1.8946,-0.3187,50.7813
58.0,58.0,1.0,1589,-10.1179,-12.1454,-12.4663,-8.637,-8.4144,50.7813
58.0,66.0,3.0,1589,6.9992,6.5487,8.699,13.7674,16.4573,50.7813
58.0,60.0,1.0,1589,4.5801,6.2028,5.9086,5.5277,4.2032,50.7813
58.0,60.0,3.0,1589,-12.6441,4.7556,1.2799,-0.3288,-0.3278,50.7813
58.0,66.0,1.0,1589,12.6712,10.1686,7.3906,5.6262,6.5815,50.7813
58.0,65.0,3.0,1589,10.0325,12.8343,10.7651,10.9407,12.3363,50.7813
58.0,65.0,2.0,1589,-1.3707,1.1044,4.0655,6.6834,9.0695,50.7813
58.0,65.0,1.0,1589,12.4096,14.6804,15.3093,12.9071,12.3765,50.7813
58.0,64.0,3.0,1589,-4.5127,-2.151,3.8545,5.3943,3.1301,50.7813
58.0,64.0,2.0,1589,-8.3657,-9.5728,-9.7299,-5.4537,-4.3681,50.7813
58.0,60.0,2.0,1589,-10.8639,-10.5318,-2.9222,1.8693,3.433,50.7813
58.0,64.0,1.0,1589,11.4326,15.9242,18.1464,16.9453,18.084,50.7813
58.0,63.0,1.0,1589,11.5034,15.1676,11.8164,9.3686,8.3552,50.7813
58.0,62.0,3.0,1589,-9.3038,-8.9714,-7.0258,-3.0772,-2.5304,50.7813
58.0,62.0,2.0,1589,1.2193,0.925,7.0777,10.5666,15.6216,50.7813
58.0,62.0,1.0,1589,2.2349,3.1857,2.3803,1.4187,-2.0536,50.7813
58.0,61.0,3.0,1589,-0.5156,0.9752,0.7985,2.079,2.6804,50.7813
58.0,61.0,1.0,1589,7.3533,9.2312,7.4942,3.6945,5.085,50.7813
58.0,63.0,2.0,1589,-3.7141,-5.0726,-9.4853,-12.6185,-12.924,50.7813
58.0,55.0,3.0,1589,-10.3079,-9.3949,-4.9397,-0.046,0.1153,50.7813
58.0,78.0,3.0,1589,8.2564,11.0575,10.8673,4.1411,0.6806,50.7813
58.0,79.0,2.0,1589,-0.801,0.7547,-1.9659,-0.7913,-0.7083,50.7813
58.0,94.0,1.0,1589,-0.098,1.5446,2.6276,2.6013,2.3111,50.7813
58.0,93.0,3.0,1589,-9.4421,-6.9948,-6.1505,-5.7482,-2.6999,50.7813
58.0,93.0,2.0,1589,1.0892,2.2021,3.8023,3.4059,2.4163,50.7813
58.0,93.0,1.0,1589,-14.9383,-18.5845,-13.1727,-10.523,-7.2659,50.7813
