subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
56.0,100.0,1.0,1587.0,-12.4661,-14.5298,-15.9952,-12.5324,-14.1072
56.0,100.0,1.0,1588.0,-14.1737,-16.0514,-14.883,-13.4976,-14.7407
56.0,100.0,1.0,1589.0,-15.6115,-17.445,-14.5677,-14.8285,-14.9579
56.0,100.0,1.0,1590.0,-17.1143,-18.2837,-15.3872,-16.6211,-16.1915
56.0,100.0,1.0,1591.0,-18.0456,-18.3512,-15.5315,-16.2906,-16.5159
56.0,100.0,1.0,1592.0,-17.7615,-18.4072,-15.8298,-15.4485,-16.7796
56.0,100.0,1.0,1593.0,-16.0804,-16.1992,-15.9577,-14.2152,-14.1195
56.0,100.0,1.0,1594.0,-14.8824,-15.024,-14.5279,-13.2938,-11.6875
56.0,100.0,1.0,1595.0,-13.5766,-14.0773,-12.2412,-12.0436,-9.8698
56.0,100.0,1.0,1596.0,-12.4115,-14.088,-12.332,-12.6816,-11.2763
56.0,100.0,1.0,1597.0,-11.7128,-14.3372,-13.0214,-14.0245,-12.1062
56.0,100.0,1.0,1598.0,-11.717,-14.1144,-12.7166,-12.6482,-11.7994
56.0,100.0,1.0,1599.0,-10.7169,-13.4096,-12.2267,-11.549,-11.7286
56.0,100.0,1.0,1600.0,-9.4269,-13.6976,-12.1125,-12.7053,-11.5496
56.0,100.0,1.0,1601.0,-8.3929,-12.843,-12.3548,-11.7668,-10.7954
56.0,100.0,1.0,1602.0,-7.4159,-11.7233,-13.139,-11.831,-11.247
56.0,100.0,1.0,1603.0,-6.8036,-11.9375,-16.5123,-12.4711,-10.6759
56.0,100.0,1.0,1604.0,-5.911,-12.7092,-17.7473,-12.8033,-11.2489
56.0,100.0,1.0,1605.0,-4.7853,-11.8559,-15.1909,-12.4012,-10.5692
56.0,100.0,1.0,1606.0,-4.4542,-11.11,-13.8067,-12.1352,-7.7189
56.0,100.0,1.0,1607.0,-4.293,-9.9279,-12.6113,-12.3307,-8.1718
56.0,100.0,1.0,1608.0,-3.4351,-9.5282,-12.3638,-10.7953,-10.1237
56.0,100.0,1.0,1609.0,-2.3757,-8.1263,-12.0265,-8.551,-9.4583
56.0,100.0,1.0,1610.0,-1.3558,-6.3039,-12.4194,-8.817,-8.6533
56.0,100.0,1.0,1611.0,0.4842,-5.6379,-13.0424,-9.1106,-8.7312
56.0,100.0,1.0,1612.0,2.1926,-5.1748,-13.5971,-9.6335,-8.2671
56.0,100.0,1.0,1613.0,1.8889,-5.0352,-13.4042,-9.482,-8.1338
56.0,100.0,1.0,1614.0,0.9588,-4.6369,-14.7588,-9.2154,-7.8889
56.0,100.0,1.0,1615.0,1.8805,-5.2539,-15.7932,-8.899,-7.558
56.0,100.0,1.0,1616.0,1.5086,-5.7701,-17.5489,-10.9597,-9.4367
56.0,100.0,1.0,1617.0,0.5435,-4.9499,-18.7747,-13.0902,-10.1874
56.0,100.0,1.0,1618.0,0.364,-5.1556,-19.5262,-12.6769,-10.7824
56.0,100.0,1.0,1619.0,0.4813,-7.0303,-20.5007,-13.985,-12.4363
56.0,100.0,1.0,1620.0,0.9809,-6.9796,-20.891,-13.9997,-11.8649
56.0,100.0,1.0,1621.0,0.315,-7.4942,-23.3101,-14.989,-12.3431
56.0,100.0,1.0,1622.0,-0.3077,-7.9145,-25.4377,-16.4137,-12.8743
56.0,100.0,1.0,1623.0,-0.5822,-8.3817,-27.5217,-16.7013,-13.0251
56.0,100.0,1.0,1624.0,0.4162,-8.2261,-27.7865,-16.6527,-12.7174
56.0,100.0,1.0,1625.0,1.3413,-7.1521,-26.97,-16.6599,-12.84
56.0,100.0,1.0,1626.0,1.4786,-6.2902,-25.2318,-15.9156,-14.1398
56.0,100.0,1.0,1627.0,2.0612,-5.0632,-24.6771,-14.5273,-14.1155
56.0,100.0,1.0,1628.0,2.3831,-4.9742,-24.2606,-12.5455,-12.9671
56.0,100.0,1.0,1629.0,2.1364,-4.2852,-22.1211,-11.2335,-11.6677
56.0,100.0,1.0,1630.0,1.7725,-4.3577,-20.959,-13.1792,-10.9491
56.0,100.0,1.0,1631.0,0.8181,-6.1982,-22.0054,-15.9579,-12.0832
56.0,100.0,1.0,1632.0,-0.1794,-6.3636,-23.0889,-17.1749,-12.7831
56.0,100.0,1.0,1633.0,1.2578,-4.1744,-20.4164,-14.4512,-11.6116
56.0,100.0,1.0,1634.0,2.9201,-2.9107,-17.7348,-10.7559,-10.5742
56.0,100.0,1.0,1635.0,2.1945,-3.821,-17.002,-10.7178,-10.6552
56.0,100.0,1.0,1636.0,1.8723,-3.6485,-16.9544,-10.1138,-10.0114
56.0,100.0,1.0,1637.0,2.3353,-3.2276,-15.766,-8.9267,-9.0599
56.0,100.0,1.0,1638.0,2.242,-3.2806,-14.3504,-8.5977,-6.5038
56.0,100.0,1.0,1639.0,3.0363,-2.8311,-12.8384,-6.6822,-4.8475
56.0,100.0,1.0,1640.0,3.2716,-2.93,-11.2605,-5.3768,-5.5856
56.0,100.0,1.0,1641.0,3.1507,-2.8501,-11.2677,-5.1292,-5.8917
56.0,100.0,1.0,1642.0,4.1315,-2.2272,-10.7081,-4.4386,-3.8541
56.0,100.0,1.0,1643.0,4.975,-1.6184,-9.4107,-2.5371,-1.9531
56.0,100.0,1.0,1644.0,4.8099,-1.7685,-9.5255,-1.3439,-2.4875
56.0,100.0,1.0,1645.0,3.8816,-2.6048,-10.2992,-0.9375,-4.7758
56.0,100.0,1.0,1646.0,3.8126,-1.7394,-8.8634,0.6659,-4.3197
56.0,100.0,1.0,1647.0,4.6444,-0.7646,-7.94,1.0391,-4.3906
56.0,100.0,1.0,1648.0,4.8514,-1.7342,-8.4953,0.5079,-4.8761
56.0,100.0,1.0,1649.0,4.2866,-3.0527,-8.4475,-0.3047,-5.1527
56.0,100.0,1.0,1650.0,3.5453,-3.3239,-7.6712,-1.1018,-5.4871
56.0,100.0,1.0,1651.0,2.5537,-4.3734,-6.3714,-1.9625,-6.4265
56.0,100.0,1.0,1652.0,2.4436,-4.2951,-5.5966,-2.83,-5.9815
56.0,100.0,1.0,1653.0,0.8154,-4.8183,-7.188,-5.1798,-6.0389
56.0,100.0,1.0,1654.0,0.5035,-5.5193,-8.4192,-6.9745,-6.5406
56.0,100.0,1.0,1655.0,-0.1497,-6.4572,-7.3294,-8.3403,-8.9698
56.0,100.0,1.0,1656.0,-0.8021,-7.1491,-7.9184,-9.7971,-9.7253
56.0,100.0,1.0,1657.0,-0.6617,-8.2258,-9.2077,-10.8588,-8.9752
56.0,100.0,1.0,1658.0,-0.6889,-8.7531,-8.935,-9.4109,-8.3387
56.0,100.0,1.0,1659.0,0.2624,-7.3022,-9.276,-8.2381,-7.2296
56.0,100.0,1.0,1660.0,0.3456,-8.1467,-10.8471,-9.0671,-7.8871
56.0,100.0,1.0,1661.0,0.6072,-8.823,-10.266,-9.1092,-8.5685
56.0,100.0,1.0,1662.0,1.4311,-7.7739,-10.9922,-10.1731,-8.0957
56.0,100.0,1.0,1663.0,2.6376,-7.3551,-11.3465,-12.3214,-8.6508
56.0,100.0,1.0,1664.0,2.7811,-7.5813,-11.3876,-13.3218,-9.3326
56.0,100.0,1.0,1665.0,5.7323,-5.0622,-9.0249,-9.0233,-6.3167
56.0,100.0,1.0,1666.0,8.727,-1.6108,-5.6184,-5.0439,-3.3855
56.0,100.0,1.0,1667.0,8.6507,-0.5062,-3.8447,-4.1161,-2.9641
56.0,100.0,1.0,1668.0,8.3317,-1.2325,-3.7049,-4.5589,-4.4982
56.0,100.0,1.0,1669.0,8.726,-1.1415,-2.3466,-3.0578,-5.0492
56.0,100.0,1.0,1670.0,8.5996,-1.7052,-2.5517,-3.6607,-5.4788
56.0,100.0,1.0,1671.0,5.6041,-2.6082,-2.2882,-4.5085,-6.3963
56.0,100.0,1.0,1672.0,5.3251,-2.8637,-2.6348,-5.4432,-5.9758
56.0,100.0,1.0,1673.0,6.2125,-1.9184,-3.2793,-4.5453,-6.826
56.0,100.0,1.0,1674.0,6.3227,-1.5969,-3.5686,-3.0587,-6.6474
56.0,100.0,1.0,1675.0,6.86,-1.5476,-3.0724,-2.2969,-5.354
56.0,100.0,1.0,1676.0,7.1356,-0.7132,-3.4458,-0.5595,-5.1299
56.0,100.0,1.0,1677.0,8.2123,0.2579,-2.5542,1.5312,-4.3334
56.0,100.0,1.0,1678.0,9.0424,0.4328,-2.6145,1.5742,-4.5509
56.0,100.0,1.0,1679.0,9.0594,0.4906,-2.2232,1.9466,-4.8564
56.0,100.0,1.0,1680.0,9.9835,1.3418,-0.3432,3.4058,-4.3904
56.0,100.0,1.0,1681.0,9.0684,1.0511,1.1748,3.0244,-4.4516
56.0,100.0,1.0,1682.0,8.2858,-0.4303,1.3914,1.5962,-4.5425
56.0,100.0,1.0,1683.0,7.9215,-1.7541,0.5891,-0.404,-5.8381
56.0,100.0,1.0,1684.0,7.9858,-2.563,0.6442,-1.2818,-5.8049
56.0,100.0,1.0,1685.0,8.4281,-2.3271,1.5981,-0.9058,-5.1561
56.0,100.0,1.0,1686.0,7.0247,-3.3406,1.2985,-1.6333,-5.444
56.0,100.0,1.0,1687.0,4.8213,-5.8687,0.4267,-3.3428,-7.748
56.0,100.0,1.0,1688.0,3.3432,-6.3449,0.2167,-2.889,-9.7619
56.0,100.0,1.0,1689.0,3.7497,-5.982,1.6113,-1.248,-9.6523
56.0,100.0,1.0,1690.0,4.2665,-6.2863,1.6839,-0.7,-8.8263
56.0,100.0,1.0,1691.0,4.4182,-5.8264,0.8531,0.5386,-8.0577
56.0,100.0,1.0,1692.0,3.8804,-5.3005,-0.8133,1.2103,-6.8274
56.0,100.0,1.0,1693.0,3.8224,-4.9989,-2.0293,1.4928,-6.6568
56.0,100.0,1.0,1694.0,5.3919,-3.7449,-2.0004,0.7325,-4.871
56.0,100.0,1.0,1695.0,7.3804,-2.7175,-2.5011,-0.0963,-4.2365
56.0,100.0,1.0,1696.0,8.851,-0.6361,-1.9401,0.8296,-3.5632
56.0,100.0,1.0,1697.0,9.6087,0.2222,-1.4172,1.3625,-2.6379
56.0,100.0,1.0,1698.0,10.3621,-0.063,-2.3824,1.1639,-1.2196
56.0,100.0,1.0,1699.0,9.3376,-1.1142,-4.1799,-1.0225,-2.203
56.0,100.0,1.0,1700.0,8.1234,-1.9257,-5.6161,-4.2094,-4.7007
56.0,100.0,1.0,1701.0,7.8902,-2.6902,-6.2824,-4.7999,-7.0627
56.0,100.0,1.0,1702.0,8.4465,-2.7539,-7.9459,-4.7477,-7.5981
56.0,100.0,1.0,1703.0,8.6486,-3.333,-9.0856,-4.8669,-7.8488
56.0,100.0,1.0,1704.0,8.4625,-3.6042,-8.8277,-5.8218,-8.5743
