subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
78.0,100.0,3.0,1653.0,18.1388,18.4618,25.4346,16.7594,21.7457
78.0,100.0,3.0,1654.0,19.3242,19.8572,24.7524,17.4365,23.3485
78.0,100.0,3.0,1655.0,18.531,19.4493,23.506,18.1491,22.5444
78.0,100.0,3.0,1656.0,16.4224,17.585,20.2857,15.837,20.07
78.0,100.0,3.0,1657.0,16.441,17.1599,18.4703,14.0885,19.5728
78.0,100.0,3.0,1658.0,17.201,18.1535,20.2516,15.5516,21.2584
78.0,100.0,3.0,1659.0,19.7804,21.1167,23.7032,19.9238,25.5867
78.0,100.0,3.0,1660.0,19.7123,21.1054,23.6078,20.0925,25.4342
78.0,100.0,3.0,1661.0,16.311,17.3207,20.5544,16.5284,21.1824
78.0,100.0,3.0,1662.0,13.5275,15.0395,19.8061,14.0254,18.6071
78.0,100.0,3.0,1663.0,13.8212,15.6551,19.6251,13.6556,17.9492
78.0,100.0,3.0,1664.0,16.5104,18.3326,20.5071,15.7841,20.8422
78.0,100.0,3.0,1665.0,18.279,19.567,20.2846,15.5062,22.3933
78.0,100.0,3.0,1666.0,18.7682,19.6183,20.1587,15.034,21.8326
78.0,100.0,3.0,1667.0,18.3142,18.8595,21.2639,15.068,21.2186
78.0,100.0,3.0,1668.0,17.2391,18.0058,23.2107,15.1163,20.549
78.0,100.0,3.0,1669.0,18.9993,19.3441,26.7619,16.3135,22.2434
78.0,100.0,3.0,1670.0,21.1261,21.0043,28.0618,17.3401,24.2524
78.0,100.0,3.0,1671.0,23.6411,23.9729,30.14,20.4797,26.4271
78.0,100.0,3.0,1672.0,25.7954,26.8962,32.4147,24.2776,29.1192
78.0,100.0,3.0,1673.0,27.2401,29.2987,32.9608,25.8395,30.7939
78.0,100.0,3.0,1674.0,27.8491,29.6352,32.0779,25.0904,30.1848
78.0,100.0,3.0,1675.0,26.6437,27.6267,28.7417,22.461,28.1211
78.0,100.0,3.0,1676.0,26.1429,26.7512,25.614,20.0756,26.3351
78.0,100.0,3.0,1677.0,28.9334,29.9186,26.2993,21.8076,28.8429
78.0,100.0,3.0,1678.0,29.1566,30.4862,24.9738,22.2465,29.3015
78.0,100.0,3.0,1679.0,24.1286,25.4634,18.5654,16.9916,23.9985
78.0,100.0,3.0,1680.0,21.8774,22.5371,16.9474,14.1936,21.7092
78.0,100.0,3.0,1681.0,22.6307,22.6683,18.8146,14.8979,22.5172
78.0,100.0,3.0,1682.0,23.8343,23.9619,20.8861,15.9203,23.37
78.0,100.0,3.0,1683.0,25.0803,25.958,23.8722,18.6842,25.0619
78.0,100.0,3.0,1684.0,25.7142,27.1215,25.1774,20.6015,26.5434
78.0,100.0,3.0,1685.0,24.9135,26.7263,23.1393,20.0852,26.3112
78.0,100.0,3.0,1686.0,27.0781,29.515,22.9712,22.7262,28.2299
78.0,100.0,3.0,1687.0,28.4968,31.5552,25.5134,24.8255,30.4528
78.0,100.0,3.0,1688.0,28.1152,31.6856,25.8728,24.7505,30.7211
78.0,100.0,3.0,1689.0,27.4422,30.818,22.8215,22.8332,28.7033
78.0,100.0,3.0,1690.0,22.3659,25.2644,17.3256,18.0566,23.791
78.0,100.0,3.0,1691.0,19.5056,22.1685,15.4681,16.2117,22.2528
78.0,100.0,3.0,1692.0,20.9548,23.608,18.6041,17.8353,24.1369
78.0,100.0,3.0,1693.0,21.2619,23.1996,18.926,16.457,23.5906
78.0,100.0,3.0,1694.0,20.6614,21.7921,17.0027,14.1809,22.2336
78.0,100.0,3.0,1695.0,18.3018,19.7381,13.9538,11.8632,19.6717
78.0,100.0,3.0,1696.0,16.6211,18.0935,11.7174,10.0031,17.544
78.0,100.0,3.0,1697.0,17.2385,19.1219,14.1063,11.6776,18.3705
78.0,100.0,3.0,1698.0,18.4121,20.2173,18.2155,14.0254,20.2717
78.0,100.0,3.0,1699.0,16.2207,18.2135,20.2687,13.4746,20.0738
78.0,100.0,3.0,1700.0,16.7367,18.5574,23.2587,14.2874,21.1812
78.0,100.0,3.0,1701.0,18.4491,19.911,24.3057,15.4799,21.5196
78.0,100.0,3.0,1702.0,16.3717,17.3808,20.6076,12.8113,17.966
78.0,100.0,3.0,1703.0,16.6743,17.1093,18.1775,11.1688,16.1465
78.0,100.0,3.0,1704.0,19.3927,19.6634,19.9447,13.1849,17.6644
78.0,100.0,3.0,1705.0,20.7237,21.7951,20.9404,16.004,19.5036
78.0,100.0,3.0,1706.0,21.7573,23.0035,19.6347,16.8163,21.9769
78.0,100.0,3.0,1707.0,21.2935,22.7719,20.4164,15.8993,22.1485
78.0,100.0,3.0,1708.0,23.423,24.9631,25.3488,18.3775,24.409
78.0,100.0,3.0,1709.0,26.8555,28.3269,30.9892,22.7646,28.3656
78.0,100.0,3.0,1710.0,25.4252,27.2033,31.2505,22.9793,28.151
78.0,100.0,3.0,1711.0,22.0594,24.5535,26.8913,20.5468,24.6303
78.0,100.0,3.0,1712.0,22.7321,25.4885,26.7252,21.3786,25.4651
78.0,100.0,3.0,1713.0,23.4785,26.5085,28.9388,22.7805,27.2993
78.0,100.0,3.0,1714.0,23.1239,26.3991,28.2315,21.9651,27.3462
78.0,100.0,3.0,1715.0,22.6368,26.1304,26.7297,22.2202,26.7939
78.0,100.0,3.0,1716.0,20.8352,24.5737,24.6358,20.7427,24.5889
78.0,100.0,3.0,1717.0,20.712,24.102,24.1597,19.6403,24.9221
78.0,100.0,3.0,1718.0,20.2498,23.6012,22.5047,18.1118,23.1728
78.0,100.0,3.0,1719.0,23.2465,26.7477,23.6732,20.118,25.0808
78.0,100.0,3.0,1720.0,25.0439,28.3597,23.6615,20.9867,26.8934
78.0,100.0,3.0,1721.0,24.5448,28.4233,22.7935,20.928,26.8243
78.0,100.0,3.0,1722.0,24.5989,29.1528,24.0181,22.3743,26.7404
78.0,100.0,3.0,1723.0,24.9488,28.6032,24.7852,22.0192,26.3981
78.0,100.0,3.0,1724.0,26.1869,28.806,26.0875,21.7598,27.9109
78.0,100.0,3.0,1725.0,25.4251,28.1796,28.2537,21.3261,28.2099
78.0,100.0,3.0,1726.0,26.1209,29.1241,30.8295,22.616,28.7589
78.0,100.0,3.0,1727.0,26.4366,29.1607,31.6795,23.3874,29.4519
78.0,100.0,3.0,1728.0,26.9842,29.6137,32.4246,24.9082,31.241
78.0,100.0,3.0,1729.0,29.4718,32.6517,35.8297,28.6432,34.0163
78.0,100.0,3.0,1730.0,29.6057,33.4864,37.4299,29.5061,33.7863
78.0,100.0,3.0,1731.0,28.5657,31.9297,35.9604,26.8976,32.9777
78.0,100.0,3.0,1732.0,27.2798,30.1216,34.3011,25.3085,31.6484
78.0,100.0,3.0,1733.0,26.4852,30.0784,32.5548,25.1431,30.5398
78.0,100.0,3.0,1734.0,26.2504,30.1697,31.0542,24.5095,30.3214
78.0,100.0,3.0,1735.0,27.5725,31.2613,32.0538,25.9773,31.8078
78.0,100.0,3.0,1736.0,28.2649,31.9634,32.6267,26.4532,32.2755
78.0,100.0,3.0,1737.0,29.996,33.0701,34.0068,27.7092,33.6976
78.0,100.0,3.0,1738.0,32.7378,35.7743,37.8046,31.1519,36.1037
78.0,100.0,3.0,1739.0,33.2694,36.1552,40.7124,32.2201,36.8501
78.0,100.0,3.0,1740.0,31.3704,34.7057,38.4105,30.3345,34.8396
78.0,100.0,3.0,1741.0,30.9951,34.3467,37.49,29.4195,34.1872
78.0,100.0,3.0,1742.0,33.8576,36.9027,39.2546,31.1061,36.5025
78.0,100.0,3.0,1743.0,34.5761,38.2563,40.808,33.0981,38.2215
78.0,100.0,3.0,1744.0,30.022,34.1096,37.3686,30.5156,34.193
78.0,100.0,3.0,1745.0,27.3862,30.6661,36.4015,27.7703,31.6892
78.0,100.0,3.0,1746.0,27.3783,29.6184,39.3351,28.302,32.7921
78.0,100.0,3.0,1747.0,25.9068,28.8527,39.4476,28.4771,32.3746
78.0,100.0,3.0,1748.0,26.5279,30.0929,42.0167,30.2134,32.5054
78.0,100.0,3.0,1749.0,29.1593,32.3878,46.0997,33.4421,34.3057
78.0,100.0,3.0,1750.0,29.2746,32.2195,47.0147,33.9473,33.5739
78.0,100.0,3.0,1751.0,28.3066,31.3942,43.1655,31.8041,31.949
78.0,100.0,3.0,1752.0,28.8635,32.1013,41.0065,30.789,32.245
78.0,100.0,3.0,1753.0,30.2501,33.0806,40.2721,31.9791,33.8234
78.0,100.0,3.0,1754.0,30.0955,33.2017,37.4829,31.538,33.9222
78.0,100.0,3.0,1755.0,31.4534,34.7375,35.7991,30.8507,35.6342
78.0,100.0,3.0,1756.0,27.9305,30.8431,31.2565,25.8759,31.5806
78.0,100.0,3.0,1757.0,23.8346,26.8293,27.4439,22.3196,26.7887
