subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
30.0,100.0,1.0,1587.0,12.1582,21.1199,55.1894,25.5906,16.3021
30.0,100.0,1.0,1588.0,13.9711,22.6373,55.7923,25.8855,16.7186
30.0,100.0,1.0,1589.0,16.8496,26.2259,56.1359,26.9634,18.7389
30.0,100.0,1.0,1590.0,20.1079,30.2082,61.3767,31.0355,22.7664
30.0,100.0,1.0,1591.0,19.8257,28.9956,65.5463,33.4206,23.4267
30.0,100.0,1.0,1592.0,11.5873,19.2297,56.9277,25.3268,14.6606
30.0,100.0,1.0,1593.0,4.3601,12.1588,51.7292,20.3006,8.9903
30.0,100.0,1.0,1594.0,4.0063,11.9947,56.703,23.5085,10.7352
30.0,100.0,1.0,1595.0,10.5594,18.6166,64.5938,30.0807,16.8926
30.0,100.0,1.0,1596.0,14.9047,23.5958,71.1524,35.5263,22.4177
30.0,100.0,1.0,1597.0,12.9388,21.3124,69.6975,33.1423,19.5884
30.0,100.0,1.0,1598.0,8.5186,15.9541,63.2131,26.4466,12.3167
30.0,100.0,1.0,1599.0,4.7891,10.7844,56.5154,20.9752,6.9653
30.0,100.0,1.0,1600.0,4.7558,10.226,55.3542,19.9785,6.5585
30.0,100.0,1.0,1601.0,6.4804,12.2413,55.4951,19.5823,6.8887
30.0,100.0,1.0,1602.0,8.1146,13.3002,55.3026,19.446,7.0455
30.0,100.0,1.0,1603.0,12.593,17.8571,59.8589,23.4388,11.6234
30.0,100.0,1.0,1604.0,15.3983,20.6786,63.633,26.2445,14.4158
30.0,100.0,1.0,1605.0,17.8595,23.2092,64.2302,27.6107,15.8405
30.0,100.0,1.0,1606.0,21.5516,28.4018,65.5782,30.8652,20.0253
30.0,100.0,1.0,1607.0,21.0098,28.5585,64.8963,30.9073,20.0824
30.0,100.0,1.0,1608.0,19.0529,26.7017,66.7757,32.0827,19.2141
30.0,100.0,1.0,1609.0,17.9784,25.3419,65.2319,30.7331,17.2548
30.0,100.0,1.0,1610.0,18.9471,25.7641,67.4412,31.5226,17.9313
30.0,100.0,1.0,1611.0,22.8027,30.1455,71.2419,34.2824,21.6997
30.0,100.0,1.0,1612.0,25.0827,32.1962,70.8657,34.6789,23.2903
30.0,100.0,1.0,1613.0,24.103,30.7403,72.1207,34.9983,22.6349
30.0,100.0,1.0,1614.0,24.5498,31.4842,73.98,36.0062,22.7188
30.0,100.0,1.0,1615.0,25.5271,32.2498,74.3036,36.1682,22.637
30.0,100.0,1.0,1616.0,26.4537,32.8463,76.5003,37.6083,23.5252
30.0,100.0,1.0,1617.0,25.3068,31.5105,72.8191,34.3983,21.466
30.0,100.0,1.0,1618.0,24.461,30.8406,71.5126,33.3808,21.0317
30.0,100.0,1.0,1619.0,26.4519,33.0776,73.6533,34.8919,22.4329
30.0,100.0,1.0,1620.0,31.4782,38.4162,79.1606,39.5484,26.7697
30.0,100.0,1.0,1621.0,33.0062,40.0465,79.0459,39.9634,27.8063
30.0,100.0,1.0,1622.0,25.9306,32.4681,71.1613,32.5587,20.6313
30.0,100.0,1.0,1623.0,19.219,25.6036,63.6384,25.9268,14.0548
30.0,100.0,1.0,1624.0,18.4706,25.7891,62.9376,25.8123,14.348
30.0,100.0,1.0,1625.0,18.6285,26.5786,67.4442,28.684,16.4972
30.0,100.0,1.0,1626.0,17.9648,26.6177,73.8653,32.3545,18.3228
30.0,100.0,1.0,1627.0,16.2763,25.339,74.5505,32.5098,17.595
30.0,100.0,1.0,1628.0,16.2123,26.0239,72.5532,31.4809,17.1055
30.0,100.0,1.0,1629.0,17.1077,28.0635,72.865,32.2359,18.4119
30.0,100.0,1.0,1630.0,16.8689,27.5214,76.4019,33.5114,18.5416
30.0,100.0,1.0,1631.0,15.9766,26.5417,76.9205,33.3413,17.96
30.0,100.0,1.0,1632.0,14.2536,24.7977,73.5018,30.613,16.0775
30.0,100.0,1.0,1633.0,13.461,23.5104,73.0304,29.8986,14.9698
30.0,100.0,1.0,1634.0,15.1447,24.6531,75.6612,33.0083,17.1987
30.0,100.0,1.0,1635.0,18.3235,27.7738,76.9467,35.1539,20.0721
30.0,100.0,1.0,1636.0,20.1368,29.3703,74.2762,33.7222,20.3498
30.0,100.0,1.0,1637.0,18.6763,27.5508,72.1765,31.3393,18.3547
30.0,100.0,1.0,1638.0,17.2598,25.1269,69.7928,28.7937,15.3015
30.0,100.0,1.0,1639.0,18.6059,26.5276,70.74,29.5899,15.3048
30.0,100.0,1.0,1640.0,20.6869,29.9575,77.9924,35.3222,19.3694
30.0,100.0,1.0,1641.0,22.0736,32.1799,83.421,39.546,22.6845
30.0,100.0,1.0,1642.0,22.4858,31.8493,86.616,41.6343,23.4912
30.0,100.0,1.0,1643.0,20.2787,29.0684,85.5564,40.4031,21.3796
30.0,100.0,1.0,1644.0,17.1705,26.4404,80.8125,36.8558,18.9097
30.0,100.0,1.0,1645.0,16.9106,26.2427,80.9115,36.5859,18.8481
30.0,100.0,1.0,1646.0,16.9831,26.6156,79.8809,36.0592,19.1263
30.0,100.0,1.0,1647.0,19.2298,29.6677,82.2743,38.5141,21.4142
30.0,100.0,1.0,1648.0,20.8322,31.6638,83.9684,40.2816,22.8899
30.0,100.0,1.0,1649.0,19.0239,30.1517,83.0819,39.0213,21.3395
30.0,100.0,1.0,1650.0,21.4163,32.6209,87.5508,42.9072,24.8618
30.0,100.0,1.0,1651.0,24.1633,34.7983,91.1875,46.2801,27.8129
30.0,100.0,1.0,1652.0,24.2558,34.4056,89.0284,44.6682,26.2942
30.0,100.0,1.0,1653.0,21.1635,31.3857,84.8807,39.9152,21.4486
30.0,100.0,1.0,1654.0,19.4438,29.8511,83.5428,37.9553,19.5884
