subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
69.0,100.0,1.0,1587.0,-5.9228,-3.3239,3.2702,4.3462,-2.0326
69.0,100.0,1.0,1588.0,-6.6886,-5.2238,2.4733,3.9547,-2.775
69.0,100.0,1.0,1589.0,-8.0016,-4.4482,2.9714,4.4349,-2.1495
69.0,100.0,1.0,1590.0,-7.2532,-1.9212,6.2064,7.8089,0.1413
69.0,100.0,1.0,1591.0,-6.8499,-1.6007,8.6653,9.7707,1.2159
69.0,100.0,1.0,1592.0,-8.4248,-3.801,8.3441,8.2494,-0.17
69.0,100.0,1.0,1593.0,-9.4073,-4.7843,6.1117,5.5598,-0.9511
69.0,100.0,1.0,1594.0,-10.9632,-4.7099,5.1974,4.3954,-1.0013
69.0,100.0,1.0,1595.0,-11.4018,-6.8432,2.713,2.6006,-2.4119
69.0,100.0,1.0,1596.0,-11.3286,-9.4438,-1.9174,-0.5003,-4.0968
69.0,100.0,1.0,1597.0,-10.9648,-8.445,-3.9038,-1.5391,-3.9664
69.0,100.0,1.0,1598.0,-10.1635,-5.2469,-3.3303,-0.722,-1.9102
69.0,100.0,1.0,1599.0,-9.8904,-6.418,-5.5336,-4.0356,-4.2998
69.0,100.0,1.0,1600.0,-10.2965,-7.8698,-7.9491,-7.9925,-8.2507
69.0,100.0,1.0,1601.0,-8.9353,-7.6113,-8.4024,-8.7667,-9.2457
69.0,100.0,1.0,1602.0,-8.0615,-6.6658,-7.1369,-7.453,-8.2801
69.0,100.0,1.0,1603.0,-9.7986,-7.0928,-7.2665,-7.5633,-8.3218
69.0,100.0,1.0,1604.0,-10.5462,-7.3164,-7.9619,-8.8606,-9.0475
69.0,100.0,1.0,1605.0,-10.1062,-5.7137,-7.6987,-8.4282,-7.7435
69.0,100.0,1.0,1606.0,-8.8952,-6.3542,-9.6236,-10.4907,-9.2623
69.0,100.0,1.0,1607.0,-8.2394,-7.7158,-10.9466,-12.2836,-10.9728
69.0,100.0,1.0,1608.0,-5.8856,-7.6435,-10.5428,-12.3686,-11.221
69.0,100.0,1.0,1609.0,-4.765,-7.6315,-10.6905,-13.0546,-12.2103
69.0,100.0,1.0,1610.0,-4.9462,-9.1799,-12.1583,-14.8414,-14.402
69.0,100.0,1.0,1611.0,-4.4089,-8.7222,-11.4733,-15.1317,-14.552
69.0,100.0,1.0,1612.0,-4.7649,-9.2445,-11.2057,-14.927,-14.7182
69.0,100.0,1.0,1613.0,-5.2501,-9.94,-10.2049,-14.0864,-14.662
69.0,100.0,1.0,1614.0,-3.115,-8.8144,-7.8758,-11.0904,-12.4938
69.0,100.0,1.0,1615.0,-0.2561,-5.3347,-5.777,-8.3522,-9.8235
69.0,100.0,1.0,1616.0,1.5518,-2.8301,-3.8138,-6.1817,-7.707
69.0,100.0,1.0,1617.0,2.7283,-2.4526,-2.9423,-4.6636,-7.0303
69.0,100.0,1.0,1618.0,2.2299,-1.9672,-1.765,-4.2783,-6.9732
69.0,100.0,1.0,1619.0,4.2162,-0.2371,0.7549,-2.3245,-4.7669
69.0,100.0,1.0,1620.0,5.6505,-0.207,2.8744,0.4975,-3.0665
69.0,100.0,1.0,1621.0,6.2792,-0.2915,2.6811,1.4319,-2.2875
69.0,100.0,1.0,1622.0,7.7671,2.7508,3.978,2.5459,0.3749
69.0,100.0,1.0,1623.0,9.6146,4.6271,5.4534,3.2247,1.3502
69.0,100.0,1.0,1624.0,10.1317,3.7616,3.631,1.8685,-0.2074
69.0,100.0,1.0,1625.0,11.5008,4.8155,3.8208,2.2457,0.3387
69.0,100.0,1.0,1626.0,13.3015,5.3399,5.1606,3.3916,1.5209
69.0,100.0,1.0,1627.0,14.5466,5.1346,4.5194,3.3805,1.2388
69.0,100.0,1.0,1628.0,14.1409,6.8507,3.4935,3.124,2.3346
69.0,100.0,1.0,1629.0,13.6605,6.2084,1.2926,1.4547,1.5749
69.0,100.0,1.0,1630.0,14.8879,6.4368,2.1353,2.3035,2.0091
69.0,100.0,1.0,1631.0,14.2552,7.0121,3.8656,3.5944,2.6385
69.0,100.0,1.0,1632.0,14.4911,8.8028,5.639,5.435,4.298
69.0,100.0,1.0,1633.0,15.0072,9.7005,7.4763,7.7375,5.8224
69.0,100.0,1.0,1634.0,11.5228,8.0443,6.7936,6.9524,5.1429
69.0,100.0,1.0,1635.0,9.4724,6.6829,5.9218,6.4956,4.3703
69.0,100.0,1.0,1636.0,8.4765,7.0386,6.6379,7.1485,4.8169
69.0,100.0,1.0,1637.0,6.8439,7.8147,7.632,7.7141,5.7859
69.0,100.0,1.0,1638.0,6.149,7.069,8.0482,8.3694,5.7911
69.0,100.0,1.0,1639.0,3.145,5.9042,5.2892,5.263,3.6309
69.0,100.0,1.0,1640.0,2.0148,4.3019,2.8157,2.9483,1.7321
69.0,100.0,1.0,1641.0,1.8278,2.1545,1.1149,1.2,-0.4515
69.0,100.0,1.0,1642.0,-0.5176,1.3573,0.1204,-0.4645,-1.3984
69.0,100.0,1.0,1643.0,-4.8642,0.9272,0.1777,-1.2156,-1.5454
69.0,100.0,1.0,1644.0,-8.4026,0.5846,-0.6426,-2.5002,-2.4121
69.0,100.0,1.0,1645.0,-9.0842,-3.0926,-4.3454,-5.7535,-5.9643
69.0,100.0,1.0,1646.0,-10.0694,-5.6213,-7.6823,-9.0778,-8.2526
69.0,100.0,1.0,1647.0,-12.5603,-5.5188,-8.9344,-10.5416,-7.9113
69.0,100.0,1.0,1648.0,-14.6529,-6.9747,-11.1258,-12.3327,-9.2158
69.0,100.0,1.0,1649.0,-14.9978,-7.8294,-11.1498,-12.5071,-9.8232
69.0,100.0,1.0,1650.0,-15.2376,-7.7206,-12.3709,-13.1558,-10.1818
69.0,100.0,1.0,1651.0,-14.5661,-7.6125,-13.589,-14.3579,-11.2298
69.0,100.0,1.0,1652.0,-15.9068,-9.422,-15.2625,-16.546,-12.8009
69.0,100.0,1.0,1653.0,-17.4105,-11.1024,-15.826,-17.078,-13.2505
69.0,100.0,1.0,1654.0,-17.8233,-11.6188,-16.5271,-17.7201,-13.8029
69.0,100.0,1.0,1655.0,-18.8257,-13.8082,-18.9718,-19.9943,-15.5656
69.0,100.0,1.0,1656.0,-19.3048,-16.6098,-21.1767,-22.5486,-18.6185
69.0,100.0,1.0,1657.0,-18.7584,-17.9049,-21.3314,-22.4227,-19.9204
69.0,100.0,1.0,1658.0,-20.5599,-18.8286,-21.8315,-22.4787,-20.1877
69.0,100.0,1.0,1659.0,-21.2018,-18.5964,-21.8055,-21.6638,-19.3018
69.0,100.0,1.0,1660.0,-21.9913,-17.0147,-19.7694,-19.8398,-18.2267
69.0,100.0,1.0,1661.0,-21.6256,-13.9062,-16.3662,-17.0421,-14.5401
69.0,100.0,1.0,1662.0,-20.6468,-14.3273,-16.0671,-16.1504,-13.8129
69.0,100.0,1.0,1663.0,-21.6877,-15.7536,-17.1345,-16.956,-14.7365
69.0,100.0,1.0,1664.0,-21.7242,-15.8176,-16.7781,-16.4801,-14.0811
69.0,100.0,1.0,1665.0,-21.7305,-15.0908,-14.5775,-14.4673,-12.3804
69.0,100.0,1.0,1666.0,-21.5152,-14.2246,-13.1213,-13.0488,-11.4029
69.0,100.0,1.0,1667.0,-20.6251,-12.597,-12.3101,-12.0758,-10.092
69.0,100.0,1.0,1668.0,-20.7852,-12.4935,-12.9347,-11.4059,-9.0486
69.0,100.0,1.0,1669.0,-21.2849,-12.9759,-13.9811,-11.3431,-9.1884
69.0,100.0,1.0,1670.0,-20.3355,-11.4944,-11.2768,-9.4673,-8.0017
69.0,100.0,1.0,1671.0,-18.6432,-8.9584,-7.8499,-6.519,-4.8975
69.0,100.0,1.0,1672.0,-17.6293,-8.2195,-7.8333,-5.5843,-3.3358
69.0,100.0,1.0,1673.0,-15.1884,-4.8613,-6.5988,-5.1865,-2.4398
69.0,100.0,1.0,1674.0,-12.9189,-3.1664,-6.79,-5.7493,-2.4016
69.0,100.0,1.0,1675.0,-12.5702,-2.4903,-7.0434,-5.1476,-1.3135
69.0,100.0,1.0,1676.0,-10.4959,0.0131,-5.1997,-2.8206,1.2788
69.0,100.0,1.0,1677.0,-5.8305,4.2773,-0.9206,2.2736,5.5519
69.0,100.0,1.0,1678.0,-3.0487,7.9603,2.731,6.0873,8.6653
69.0,100.0,1.0,1679.0,-1.3753,10.7079,4.5908,7.3918,10.1704
69.0,100.0,1.0,1680.0,-0.1416,13.1154,5.571,7.9854,11.9065
69.0,100.0,1.0,1681.0,1.5054,13.6589,5.6588,8.608,12.9316
69.0,100.0,1.0,1682.0,2.1192,14.3242,6.7649,10.3663,14.7187
69.0,100.0,1.0,1683.0,-0.0257,14.1047,7.5328,11.2771,15.6736
69.0,100.0,1.0,1684.0,-0.6661,13.3314,7.3695,11.4001,15.8613
69.0,100.0,1.0,1685.0,2.8463,15.1685,7.4055,11.6304,16.9658
69.0,100.0,1.0,1686.0,4.7797,15.256,4.3169,9.3161,15.6376
69.0,100.0,1.0,1687.0,6.2755,16.4983,3.7068,9.0454,15.6838
69.0,100.0,1.0,1688.0,6.879,18.4014,5.7083,10.3988,16.8523
69.0,100.0,1.0,1689.0,6.236,18.1929,5.6538,9.886,16.226
