subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
45.0,100.0,1.0,1587.0,1.2193,3.5602,16.5844,12.3319,3.7563
45.0,100.0,1.0,1588.0,0.1429,3.0668,17.3088,12.4629,4.0009
45.0,100.0,1.0,1589.0,1.9293,5.6657,21.407,17.7233,7.6583
45.0,100.0,1.0,1590.0,3.3622,7.3116,24.5875,20.3778,9.6139
45.0,100.0,1.0,1591.0,-0.0788,4.1934,21.2225,16.2671,5.3877
45.0,100.0,1.0,1592.0,-3.5078,0.5512,17.0125,11.8187,1.213
45.0,100.0,1.0,1593.0,-5.206,-1.9882,16.0098,9.3569,-1.166
45.0,100.0,1.0,1594.0,-6.5724,-3.7405,15.1687,6.9138,-2.6626
45.0,100.0,1.0,1595.0,-8.3466,-5.4902,13.1773,5.6835,-3.9216
45.0,100.0,1.0,1596.0,-8.7217,-6.3162,11.1146,4.7437,-4.5296
45.0,100.0,1.0,1597.0,-8.6207,-6.9643,11.195,4.0655,-5.3058
45.0,100.0,1.0,1598.0,-9.5396,-8.0797,10.9171,2.3083,-7.5675
45.0,100.0,1.0,1599.0,-9.3683,-7.4573,11.7418,3.583,-7.9341
45.0,100.0,1.0,1600.0,-7.516,-5.5479,13.1642,5.4296,-5.3648
45.0,100.0,1.0,1601.0,-4.8608,-3.2102,14.5774,7.6533,-0.9517
45.0,100.0,1.0,1602.0,-5.2523,-5.1259,13.3099,6.291,-1.6931
45.0,100.0,1.0,1603.0,-5.1241,-5.0892,11.2476,4.6167,-3.5455
45.0,100.0,1.0,1604.0,-4.6278,-4.9263,10.2502,2.5585,-5.1895
45.0,100.0,1.0,1605.0,-3.7186,-4.1665,11.1381,3.7047,-3.6237
45.0,100.0,1.0,1606.0,-4.7559,-5.0027,11.0546,3.3874,-5.1832
45.0,100.0,1.0,1607.0,-7.4838,-7.2061,10.5789,2.0878,-7.5753
45.0,100.0,1.0,1608.0,-7.3537,-6.5961,7.3752,-1.3715,-7.3273
45.0,100.0,1.0,1609.0,-5.6137,-6.2092,5.1357,-1.8598,-6.9612
45.0,100.0,1.0,1610.0,-6.5273,-6.7899,4.1691,-1.6287,-7.5288
45.0,100.0,1.0,1611.0,-5.7624,-5.4708,4.7566,-0.7907,-6.2271
45.0,100.0,1.0,1612.0,-6.386,-5.7586,4.6432,-1.4885,-7.1691
45.0,100.0,1.0,1613.0,-7.1125,-5.6851,3.6988,-2.2383,-8.7519
45.0,100.0,1.0,1614.0,-5.9378,-4.8585,3.261,-1.1899,-7.8524
45.0,100.0,1.0,1615.0,-6.9392,-5.709,1.8244,-2.8383,-8.431
