subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
61.0,100.0,1.0,1587.0,-11.1863,-2.6522,9.467,6.085,5.7124
61.0,100.0,1.0,1588.0,-11.9645,-2.5227,10.3153,6.6557,6.4133
61.0,100.0,1.0,1589.0,-11.5875,-2.5966,9.3684,6.7339,6.65
61.0,100.0,1.0,1590.0,-10.9686,-1.8443,10.3461,7.9728,7.9518
61.0,100.0,1.0,1591.0,-13.4008,-2.5661,10.0136,6.9832,6.9385
61.0,100.0,1.0,1592.0,-14.5427,-3.2677,9.2021,6.1993,6.1594
61.0,100.0,1.0,1593.0,-14.1567,-2.9586,10.472,7.7033,7.827
61.0,100.0,1.0,1594.0,-15.2059,-4.123,10.3066,7.3129,6.8844
61.0,100.0,1.0,1595.0,-17.1213,-5.9471,10.3841,6.221,4.5408
61.0,100.0,1.0,1596.0,-18.8837,-6.4949,10.7368,5.146,2.4973
61.0,100.0,1.0,1597.0,-19.4444,-6.5789,9.8777,4.7584,2.3334
61.0,100.0,1.0,1598.0,-19.1278,-6.7494,8.0691,4.1044,2.9724
61.0,100.0,1.0,1599.0,-18.0299,-5.962,7.3552,3.9481,4.4355
61.0,100.0,1.0,1600.0,-17.8259,-5.8288,8.0063,3.6016,3.6802
61.0,100.0,1.0,1601.0,-18.8761,-6.6934,8.5333,3.9831,3.0235
61.0,100.0,1.0,1602.0,-17.154,-4.3109,9.9045,6.6355,5.2893
61.0,100.0,1.0,1603.0,-16.0024,-3.4782,10.6001,7.8453,6.3156
61.0,100.0,1.0,1604.0,-13.6666,-2.1035,11.3495,8.3794,7.0283
61.0,100.0,1.0,1605.0,-12.0793,-0.4314,11.556,9.8235,9.4944
61.0,100.0,1.0,1606.0,-11.6112,0.4158,11.1609,9.9738,9.807
61.0,100.0,1.0,1607.0,-11.0387,-0.1739,11.2913,8.8249,7.9571
61.0,100.0,1.0,1608.0,-11.1509,-1.6309,10.5537,7.2152,7.0102
61.0,100.0,1.0,1609.0,-8.3651,-0.0675,9.1519,6.0844,7.4345
61.0,100.0,1.0,1610.0,-6.7462,1.7746,7.9763,4.918,8.1894
61.0,100.0,1.0,1611.0,-8.107,0.56,5.039,2.0594,5.5898
61.0,100.0,1.0,1612.0,-8.2907,0.5028,3.2235,1.1203,4.3795
61.0,100.0,1.0,1613.0,-6.5902,2.6663,4.5999,2.3515,4.6845
61.0,100.0,1.0,1614.0,-6.3363,2.4702,4.3218,1.6123,3.89
61.0,100.0,1.0,1615.0,-4.2699,3.8322,4.6399,1.067,2.0436
61.0,100.0,1.0,1616.0,-2.9138,3.8829,3.9778,0.0659,0.3676
61.0,100.0,1.0,1617.0,-0.5962,4.4071,2.0893,-0.9278,-0.0864
61.0,100.0,1.0,1618.0,2.5701,6.0063,1.7371,-0.8145,1.2986
61.0,100.0,1.0,1619.0,4.4045,6.2487,0.2793,-1.9188,1.1587
61.0,100.0,1.0,1620.0,5.0401,6.4408,-2.0318,-3.8846,-0.3151
61.0,100.0,1.0,1621.0,5.2734,5.6585,-3.5816,-5.8467,-2.0411
61.0,100.0,1.0,1622.0,5.3722,4.0748,-6.2739,-8.7053,-4.4011
61.0,100.0,1.0,1623.0,8.4807,5.9898,-6.6611,-9.095,-3.887
61.0,100.0,1.0,1624.0,7.7463,5.6639,-5.5168,-9.4787,-5.3756
61.0,100.0,1.0,1625.0,4.9283,1.9308,-6.3799,-12.0947,-8.8888
61.0,100.0,1.0,1626.0,4.1,-1.1896,-10.0211,-14.6424,-10.1796
61.0,100.0,1.0,1627.0,2.9813,-3.1805,-14.6322,-16.7731,-10.0275
61.0,100.0,1.0,1628.0,3.9903,-2.2124,-15.3909,-18.0756,-10.8231
61.0,100.0,1.0,1629.0,3.8659,-2.3871,-16.6063,-20.1168,-12.696
61.0,100.0,1.0,1630.0,4.8722,-0.8283,-15.7987,-19.2273,-11.794
61.0,100.0,1.0,1631.0,7.4676,0.7715,-14.8912,-18.321,-11.6835
61.0,100.0,1.0,1632.0,4.3571,-3.1821,-15.9666,-19.6622,-13.6246
61.0,100.0,1.0,1633.0,1.2594,-6.1232,-15.5679,-19.1726,-13.5386
61.0,100.0,1.0,1634.0,0.185,-6.391,-16.276,-20.3789,-13.6379
61.0,100.0,1.0,1635.0,-0.1201,-6.4511,-15.6952,-19.4013,-13.3169
61.0,100.0,1.0,1636.0,-1.4084,-7.8964,-15.5906,-19.5783,-14.2145
61.0,100.0,1.0,1637.0,-1.2664,-8.4805,-16.0128,-20.1364,-14.4592
61.0,100.0,1.0,1638.0,-0.523,-8.5272,-15.5393,-19.1714,-13.407
61.0,100.0,1.0,1639.0,-0.3239,-7.8261,-13.1268,-16.7693,-12.2593
61.0,100.0,1.0,1640.0,-1.8736,-8.4287,-11.6819,-15.4107,-12.2885
61.0,100.0,1.0,1641.0,-4.4177,-10.4655,-12.4327,-16.0679,-13.0877
61.0,100.0,1.0,1642.0,-6.8962,-10.737,-12.3447,-16.0757,-12.328
61.0,100.0,1.0,1643.0,-6.8779,-9.2982,-11.5057,-14.982,-11.4478
61.0,100.0,1.0,1644.0,-3.4976,-6.3687,-10.5115,-12.9095,-8.4011
61.0,100.0,1.0,1645.0,0.7838,-2.8275,-7.1629,-8.6427,-4.5137
61.0,100.0,1.0,1646.0,2.6405,-1.4208,-4.6319,-5.3768,-1.9689
61.0,100.0,1.0,1647.0,-1.4502,-4.4114,-4.6651,-5.7723,-3.3861
61.0,100.0,1.0,1648.0,-4.4356,-5.7117,-4.664,-6.7477,-5.3491
61.0,100.0,1.0,1649.0,-4.4831,-5.1724,-4.3694,-6.0807,-4.9894
61.0,100.0,1.0,1650.0,-3.1743,-4.1651,-4.7082,-5.9317,-3.218
61.0,100.0,1.0,1651.0,-4.1621,-5.4711,-5.4953,-7.1975,-4.078
61.0,100.0,1.0,1652.0,-4.3073,-5.0775,-4.0126,-7.0173,-4.4671
61.0,100.0,1.0,1653.0,-3.4139,-3.7697,-2.2545,-5.9406,-3.7306
61.0,100.0,1.0,1654.0,-2.8055,-3.2331,-2.1915,-5.4208,-3.2095
61.0,100.0,1.0,1655.0,-2.0152,-2.2517,-2.0812,-4.8529,-2.31
61.0,100.0,1.0,1656.0,-1.3573,-1.1839,-1.3205,-3.9357,-1.6785
61.0,100.0,1.0,1657.0,1.4135,0.981,-0.1998,-1.7586,0.0162
61.0,100.0,1.0,1658.0,2.1335,0.634,-2.3758,-2.9158,0.8381
61.0,100.0,1.0,1659.0,0.2903,-1.1944,-3.9019,-4.3183,0.103
61.0,100.0,1.0,1660.0,-2.0408,-3.8074,-5.4939,-6.5512,-2.1363
61.0,100.0,1.0,1661.0,-1.8371,-3.6305,-5.955,-7.9857,-4.3854
61.0,100.0,1.0,1662.0,-0.68,-2.2274,-5.2527,-7.0427,-4.3671
61.0,100.0,1.0,1663.0,-0.4255,-1.1768,-3.7382,-5.856,-4.2914
61.0,100.0,1.0,1664.0,-2.0605,-2.3049,-3.2364,-6.4912,-5.3095
61.0,100.0,1.0,1665.0,-1.3547,-1.1778,-2.5618,-5.4487,-4.0178
61.0,100.0,1.0,1666.0,1.1808,0.9538,-4.0877,-4.9307,-2.7925
61.0,100.0,1.0,1667.0,2.2151,1.438,-5.0801,-4.9102,-1.6737
61.0,100.0,1.0,1668.0,1.2982,0.4979,-4.4137,-4.0596,-0.6539
61.0,100.0,1.0,1669.0,2.5787,2.0108,-2.665,-2.6613,0.8898
61.0,100.0,1.0,1670.0,1.2401,0.2859,-5.1313,-4.6696,-0.6537
61.0,100.0,1.0,1671.0,-2.7149,-4.2302,-8.4351,-8.2003,-4.5805
