subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
44.0,10.0,1.0,1587.0,-5.2757,-2.6432,1.2311,1.7896,-1.6613
44.0,10.0,1.0,1588.0,-7.6291,-5.4665,-1.9759,-1.8662,-4.7401
44.0,10.0,1.0,1589.0,-7.4713,-5.2722,-2.9841,-2.3199,-4.2175
44.0,10.0,1.0,1590.0,-7.6721,-4.6543,-2.9368,-1.9106,-3.6603
44.0,10.0,1.0,1591.0,-6.1885,-2.8561,-0.1982,0.6109,-1.9803
44.0,10.0,1.0,1592.0,-5.9362,-2.5184,0.9315,1.7137,-0.9349
44.0,10.0,1.0,1593.0,-6.6643,-3.8165,0.04,0.8959,-1.6949
44.0,10.0,1.0,1594.0,-7.1608,-5.3367,-0.1217,0.2409,-3.5935
44.0,10.0,1.0,1595.0,-7.6862,-6.5831,-0.107,-0.0448,-4.6777
44.0,10.0,1.0,1596.0,-8.4606,-7.7941,-0.8582,-1.196,-5.8542
44.0,10.0,1.0,1597.0,-10.1579,-9.7395,-4.057,-3.9558,-6.9339
44.0,10.0,1.0,1598.0,-10.031,-9.3806,-4.2504,-3.8697,-7.5076
44.0,10.0,1.0,1599.0,-10.0835,-9.5531,-2.1422,-2.0334,-7.2079
44.0,10.0,1.0,1600.0,-9.9166,-9.9387,-2.5362,-2.1916,-7.8238
44.0,10.0,1.0,1601.0,-10.4141,-10.5291,-4.4193,-4.0414,-8.703
44.0,10.0,1.0,1602.0,-10.5341,-10.8267,-4.9303,-5.6832,-10.5148
44.0,10.0,1.0,1603.0,-9.1757,-10.9002,-3.3727,-5.6152,-10.2591
44.0,10.0,1.0,1604.0,-8.8905,-10.8631,-2.9555,-5.6777,-8.4478
44.0,10.0,1.0,1605.0,-8.7459,-9.3006,-2.7322,-4.3065,-6.4339
44.0,10.0,1.0,1606.0,-6.0631,-6.6336,-0.1277,-2.3248,-4.7669
44.0,10.0,1.0,1607.0,-4.2413,-5.1972,1.265,-1.2183,-3.6428
44.0,10.0,1.0,1608.0,-4.5623,-4.4319,1.639,-1.3773,-3.0736
44.0,10.0,1.0,1609.0,-4.0389,-3.3385,1.8443,-1.7955,-2.6004
44.0,10.0,1.0,1610.0,-3.3652,-2.715,0.9091,-1.8698,-2.3703
44.0,10.0,1.0,1611.0,-3.5583,-1.8585,1.1605,-0.6767,-1.6877
44.0,10.0,1.0,1612.0,-2.9347,-1.1456,1.8476,-0.3524,-1.5435
44.0,10.0,1.0,1613.0,-2.3753,-1.7822,2.1081,-0.7737,-0.8795
44.0,10.0,1.0,1614.0,-2.8223,-2.0439,0.4061,-1.777,-1.7504
44.0,10.0,1.0,1615.0,-2.8781,-2.929,-1.0813,-3.847,-4.0028
44.0,10.0,1.0,1616.0,-2.8598,-3.0009,-1.5829,-4.6654,-3.7735
44.0,10.0,1.0,1617.0,-2.2143,-2.5278,-0.6363,-4.0317,-2.6072
44.0,10.0,1.0,1618.0,-1.6622,-2.2767,-1.8549,-4.1471,-2.6117
44.0,10.0,1.0,1619.0,-2.1964,-2.9864,-4.1169,-4.96,-3.0508
44.0,10.0,1.0,1620.0,-2.2942,-3.177,-5.2412,-5.6263,-3.9638
44.0,10.0,1.0,1621.0,-3.6912,-5.3818,-6.7807,-6.8419,-5.2237
44.0,10.0,1.0,1622.0,-3.2447,-5.0141,-5.6833,-6.6734,-4.7338
44.0,10.0,1.0,1623.0,-1.9501,-2.7965,-4.5695,-5.9345,-3.7525
44.0,10.0,1.0,1624.0,-1.5275,-2.3955,-5.3102,-6.315,-3.123
44.0,10.0,1.0,1625.0,-1.0758,-1.6668,-5.5746,-6.3958,-2.8668
44.0,10.0,1.0,1626.0,-2.1106,-2.1791,-8.3598,-7.8586,-3.6084
44.0,10.0,1.0,1627.0,-3.2568,-2.834,-9.8768,-8.4477,-3.7973
44.0,10.0,1.0,1628.0,-1.1174,-1.815,-8.2678,-6.4546,-2.7761
44.0,10.0,1.0,1629.0,-0.2226,-2.1784,-7.7042,-6.0565,-2.6566
44.0,10.0,1.0,1630.0,-1.0213,-2.9432,-6.9856,-6.9818,-3.7126
44.0,10.0,1.0,1631.0,-1.406,-3.2497,-7.141,-7.556,-4.1692
44.0,10.0,1.0,1632.0,-0.7869,-3.3026,-9.6598,-9.6275,-5.2016
44.0,10.0,1.0,1633.0,-1.2157,-3.457,-11.6316,-11.3896,-6.1755
44.0,10.0,1.0,1634.0,-0.6596,-2.9267,-10.0234,-9.7864,-4.8158
44.0,10.0,1.0,1635.0,-0.0157,-3.2425,-9.8624,-9.5048,-4.1429
44.0,10.0,1.0,1636.0,0.3703,-3.5562,-9.3169,-9.6451,-3.9017
44.0,10.0,1.0,1637.0,0.1346,-4.2611,-8.9155,-9.0117,-4.0381
44.0,10.0,1.0,1638.0,0.1628,-4.4002,-7.9441,-7.962,-4.4036
44.0,10.0,1.0,1639.0,-0.6111,-4.2419,-8.4431,-7.912,-4.7226
44.0,10.0,1.0,1640.0,-2.1874,-4.607,-8.65,-8.3411,-4.2213
44.0,10.0,1.0,1641.0,-2.2426,-4.4636,-7.9037,-7.8897,-4.2327
44.0,10.0,1.0,1642.0,-2.5606,-5.9103,-8.5693,-9.463,-6.9819
44.0,10.0,1.0,1643.0,-3.5454,-7.5951,-8.725,-11.276,-8.5796
44.0,10.0,1.0,1644.0,-3.8739,-7.3071,-9.0392,-11.6772,-8.0329
44.0,10.0,1.0,1645.0,-3.5457,-7.1072,-7.9064,-11.0906,-8.3148
44.0,10.0,1.0,1646.0,-3.7951,-7.3746,-6.6213,-10.1364,-8.6501
44.0,10.0,1.0,1647.0,-4.4083,-6.9783,-5.2682,-9.1868,-8.3568
44.0,10.0,1.0,1648.0,-5.1524,-7.3911,-4.6251,-8.36,-8.6196
44.0,10.0,1.0,1649.0,-4.7286,-8.221,-5.86,-9.434,-9.4746
44.0,10.0,1.0,1650.0,-5.4567,-10.4449,-8.8487,-11.8793,-11.6196
44.0,10.0,1.0,1651.0,-6.3951,-12.4633,-10.8434,-13.9221,-13.0545
44.0,10.0,1.0,1652.0,-5.8206,-12.6736,-10.5658,-13.9975,-13.3415
44.0,10.0,1.0,1653.0,-5.6598,-12.2289,-8.5949,-12.7795,-13.1517
44.0,10.0,1.0,1654.0,-6.0097,-11.4047,-9.4845,-12.157,-12.2468
44.0,10.0,1.0,1655.0,-6.0043,-10.4769,-12.0425,-13.6746,-12.3934
44.0,10.0,1.0,1656.0,-5.3779,-9.3755,-11.3532,-12.7801,-11.4516
44.0,10.0,1.0,1657.0,-6.1311,-9.1249,-11.7875,-12.9908,-12.0475
44.0,10.0,1.0,1658.0,-7.5342,-10.454,-13.1794,-13.481,-13.3461
