subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
10.0,100.0,1.0,1587.0,-3.8107,0.276,-1.9085,-4.931,0.3467
10.0,100.0,1.0,1588.0,-1.4257,2.3873,1.4206,-2.3606,2.208
10.0,100.0,1.0,1589.0,-0.3137,3.2754,1.8893,-2.0711,2.9026
10.0,100.0,1.0,1590.0,-0.3746,1.6995,0.5924,-3.6014,1.2516
10.0,100.0,1.0,1591.0,-0.4696,0.622,0.9085,-4.2205,-0.3164
10.0,100.0,1.0,1592.0,1.5911,1.82,2.3377,-3.5885,-0.1895
10.0,100.0,1.0,1593.0,1.3903,0.9545,0.6037,-4.788,-1.1926
10.0,100.0,1.0,1594.0,-0.4527,-1.9995,-3.8933,-8.1653,-4.6856
10.0,100.0,1.0,1595.0,-1.5963,-3.8301,-5.7196,-10.2781,-7.3286
10.0,100.0,1.0,1596.0,-2.7097,-4.2444,-5.7402,-10.7057,-7.4257
10.0,100.0,1.0,1597.0,-1.187,-2.3073,-3.7394,-8.6249,-5.5591
10.0,100.0,1.0,1598.0,-1.8743,-2.4098,-4.5967,-9.2837,-6.6969
10.0,100.0,1.0,1599.0,-2.4743,-1.9063,-5.8446,-10.0761,-6.8442
10.0,100.0,1.0,1600.0,-2.0015,-0.1361,-3.8294,-8.153,-5.0466
10.0,100.0,1.0,1601.0,0.3042,2.3427,-0.367,-5.2627,-3.8871
10.0,100.0,1.0,1602.0,1.6697,4.2872,1.1862,-4.0889,-2.7643
10.0,100.0,1.0,1603.0,3.1224,4.4854,1.3686,-5.202,-1.3706
10.0,100.0,1.0,1604.0,3.4184,3.7761,1.2786,-5.8206,-0.5086
10.0,100.0,1.0,1605.0,3.8395,3.3879,1.5382,-4.7392,0.1379
10.0,100.0,1.0,1606.0,7.7422,6.8329,6.1354,-1.0157,5.0983
10.0,100.0,1.0,1607.0,10.1166,9.092,9.524,1.4241,7.9716
10.0,100.0,1.0,1608.0,10.727,8.9271,8.3926,1.2489,7.0256
10.0,100.0,1.0,1609.0,11.6796,9.2496,8.163,1.2988,6.5261
10.0,100.0,1.0,1610.0,13.0782,9.3389,8.2749,1.6265,6.09
10.0,100.0,1.0,1611.0,11.7369,8.4067,5.7654,0.0994,4.337
10.0,100.0,1.0,1612.0,10.2172,7.6005,5.8358,0.1894,3.9343
10.0,100.0,1.0,1613.0,10.3145,8.9142,9.5816,2.9722,5.777
10.0,100.0,1.0,1614.0,7.7333,9.0654,11.6005,3.9189,6.7113
10.0,100.0,1.0,1615.0,4.5161,6.4335,8.1957,1.3389,4.3308
10.0,100.0,1.0,1616.0,0.6909,3.0307,3.0517,-2.0124,0.5386
10.0,100.0,1.0,1617.0,-0.6319,1.8168,1.0216,-3.309,-1.0308
10.0,100.0,1.0,1618.0,0.4188,2.0851,-0.0153,-4.1242,-0.9441
10.0,100.0,1.0,1619.0,1.2405,2.2168,-0.0135,-4.6555,-1.4103
