subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
52.0,100.0,3.0,1587.0,-5.9824,-5.5297,-9.4865,-9.4582,-6.9281
52.0,100.0,3.0,1588.0,-6.2414,-6.4228,-11.8178,-11.0566,-7.9783
52.0,100.0,3.0,1589.0,-4.3272,-5.836,-13.6956,-12.1568,-8.1785
52.0,100.0,3.0,1590.0,0.2975,-1.4991,-10.2537,-8.3191,-3.9327
52.0,100.0,3.0,1591.0,3.4691,1.1445,-9.3847,-7.4168,-2.3946
52.0,100.0,3.0,1592.0,5.069,2.6379,-8.8628,-6.644,-1.2382
52.0,100.0,3.0,1593.0,6.3891,4.5855,-7.3835,-5.4113,0.4067
52.0,100.0,3.0,1594.0,7.8679,6.4406,-6.5184,-4.7633,1.3284
52.0,100.0,3.0,1595.0,8.5942,6.8883,-6.5504,-4.6655,1.5343
52.0,100.0,3.0,1596.0,8.7491,6.3187,-6.0569,-4.8055,0.8509
52.0,100.0,3.0,1597.0,8.5977,5.9465,-5.8975,-4.5997,0.9379
52.0,100.0,3.0,1598.0,10.1998,7.1632,-5.0399,-3.5855,2.1003
52.0,100.0,3.0,1599.0,10.9471,7.7089,-6.1387,-3.9002,2.188
52.0,100.0,3.0,1600.0,8.9167,6.1748,-9.8463,-6.4745,0.4188
52.0,100.0,3.0,1601.0,6.8554,4.7374,-12.4555,-8.4928,-1.4615
52.0,100.0,3.0,1602.0,4.2659,1.4573,-15.9747,-11.5947,-4.5842
52.0,100.0,3.0,1603.0,2.9551,0.4636,-15.4007,-11.0858,-4.6758
52.0,100.0,3.0,1604.0,3.8588,2.119,-12.3738,-8.4406,-2.665
52.0,100.0,3.0,1605.0,2.7092,1.4156,-12.1735,-8.3103,-2.6045
52.0,100.0,3.0,1606.0,1.1517,0.0666,-13.4547,-9.5022,-3.7539
52.0,100.0,3.0,1607.0,0.8889,-0.1364,-12.6694,-9.2356,-3.8131
52.0,100.0,3.0,1608.0,1.2401,1.0293,-10.6803,-7.8443,-2.4129
52.0,100.0,3.0,1609.0,2.1245,2.0047,-9.3616,-6.4606,-1.4038
52.0,100.0,3.0,1610.0,1.9269,1.6425,-10.1001,-6.4035,-1.3987
52.0,100.0,3.0,1611.0,2.221,2.1324,-9.2229,-5.4838,-0.7691
52.0,100.0,3.0,1612.0,2.0973,2.0133,-7.8294,-3.8182,0.0723
52.0,100.0,3.0,1613.0,0.0274,-0.1341,-9.3965,-5.236,-1.6032
52.0,100.0,3.0,1614.0,-3.0431,-2.8187,-11.5679,-7.7767,-4.1214
52.0,100.0,3.0,1615.0,-2.6907,-2.6779,-12.8223,-9.1934,-4.8246
52.0,100.0,3.0,1616.0,-3.0245,-3.7099,-13.7167,-10.6279,-5.8872
52.0,100.0,3.0,1617.0,-4.0059,-4.8667,-14.3537,-11.8409,-7.0142
52.0,100.0,3.0,1618.0,-3.2137,-3.7384,-15.1766,-12.6689,-7.2108
52.0,100.0,3.0,1619.0,-1.377,-2.046,-15.239,-12.2127,-6.5923
52.0,100.0,3.0,1620.0,-0.2183,-1.6896,-15.8548,-12.4484,-6.8296
52.0,100.0,3.0,1621.0,0.1086,-1.562,-17.2266,-13.3377,-7.1254
52.0,100.0,3.0,1622.0,-0.5035,-1.6255,-17.9567,-14.2368,-7.4778
52.0,100.0,3.0,1623.0,-0.0217,-1.7319,-19.2918,-15.4045,-7.9786
52.0,100.0,3.0,1624.0,1.1582,-0.613,-18.5497,-14.7114,-6.7407
52.0,100.0,3.0,1625.0,2.2872,1.4336,-15.6361,-12.0564,-4.5855
52.0,100.0,3.0,1626.0,1.4803,1.123,-14.0326,-11.3604,-4.8987
52.0,100.0,3.0,1627.0,0.6839,-0.3924,-14.3316,-12.1484,-6.304
52.0,100.0,3.0,1628.0,1.4177,-0.444,-15.7698,-12.6944,-6.4276
52.0,100.0,3.0,1629.0,2.4895,0.3956,-14.9866,-11.927,-5.2522
52.0,100.0,3.0,1630.0,4.849,2.6962,-11.9845,-9.8888,-2.8918
52.0,100.0,3.0,1631.0,6.5612,4.9905,-9.5833,-7.9127,-0.5022
52.0,100.0,3.0,1632.0,7.8877,6.8045,-7.677,-6.168,1.2873
52.0,100.0,3.0,1633.0,9.5645,8.5465,-6.8333,-3.997,3.6316
52.0,100.0,3.0,1634.0,10.9206,9.5918,-6.1781,-2.3964,5.4176
52.0,100.0,3.0,1635.0,10.0958,8.5979,-6.2834,-2.9132,4.8958
52.0,100.0,3.0,1636.0,8.9866,8.5823,-5.8402,-2.7921,4.7915
52.0,100.0,3.0,1637.0,8.2198,7.9526,-6.5662,-2.9798,4.6463
52.0,100.0,3.0,1638.0,8.0728,7.7085,-4.8804,-2.0911,4.8831
52.0,100.0,3.0,1639.0,7.7914,7.8366,-1.2288,0.0573,5.6235
52.0,100.0,3.0,1640.0,7.3703,7.7561,0.1794,1.1839,6.4953
52.0,100.0,3.0,1641.0,5.3248,5.4903,-0.7261,0.3455,4.9211
52.0,100.0,3.0,1642.0,3.9489,4.026,-3.5001,-2.1227,1.9722
52.0,100.0,3.0,1643.0,4.3897,4.5568,-4.699,-3.3005,1.1898
52.0,100.0,3.0,1644.0,2.9041,3.0528,-6.9379,-5.3543,-0.8284
52.0,100.0,3.0,1645.0,1.5948,0.9642,-10.5276,-8.0111,-3.0883
52.0,100.0,3.0,1646.0,0.0651,-0.7865,-11.8113,-9.0743,-4.3852
52.0,100.0,3.0,1647.0,-0.8521,-1.4807,-13.4215,-9.9207,-5.0019
52.0,100.0,3.0,1648.0,-0.317,-1.8119,-14.4821,-10.8925,-5.758
52.0,100.0,3.0,1649.0,-0.5308,-1.9985,-13.5189,-10.3588,-5.6802
52.0,100.0,3.0,1650.0,-1.2312,-1.7665,-11.0445,-8.158,-4.4852
52.0,100.0,3.0,1651.0,-2.4475,-2.3773,-10.7409,-7.5234,-4.1019
52.0,100.0,3.0,1652.0,-1.7126,-2.0164,-11.1065,-7.1849,-3.2463
52.0,100.0,3.0,1653.0,0.1447,0.0221,-10.6913,-6.4666,-1.7832
52.0,100.0,3.0,1654.0,2.4378,2.6406,-10.1701,-4.5529,0.4708
