subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
22.0,100.0,1.0,1587.0,23.5811,19.1264,10.9559,9.7872,12.5874
22.0,100.0,1.0,1588.0,24.2284,19.7044,12.2712,10.0808,13.3431
22.0,100.0,1.0,1589.0,23.5429,18.1934,9.0667,8.4755,11.88
22.0,100.0,1.0,1590.0,23.5162,17.8662,8.0297,8.5346,10.9537
22.0,100.0,1.0,1591.0,22.2867,16.6169,7.1045,7.8283,9.7683
22.0,100.0,1.0,1592.0,20.2299,15.4442,5.8555,5.3429,7.9061
22.0,100.0,1.0,1593.0,21.0978,16.0017,6.9796,4.2092,8.0603
22.0,100.0,1.0,1594.0,21.7957,16.4367,6.8933,1.9682,7.1711
22.0,100.0,1.0,1595.0,21.7467,16.5786,7.6703,2.5347,6.6252
22.0,100.0,1.0,1596.0,19.735,15.1437,6.5278,0.4446,4.9494
22.0,100.0,1.0,1597.0,19.142,14.3869,6.2958,-0.3891,4.7564
22.0,100.0,1.0,1598.0,20.4983,14.885,6.7,1.4102,5.5224
22.0,100.0,1.0,1599.0,20.0962,15.6272,6.3089,2.3736,6.5243
22.0,100.0,1.0,1600.0,18.6947,14.7272,5.6733,2.0571,5.8502
22.0,100.0,1.0,1601.0,20.1311,15.2884,7.2387,3.1513,5.665
22.0,100.0,1.0,1602.0,20.8831,15.0969,6.0286,4.1333,5.1491
22.0,100.0,1.0,1603.0,20.6814,14.6829,5.9704,4.1329,5.561
22.0,100.0,1.0,1604.0,19.73,14.1615,5.0367,3.8171,7.2378
22.0,100.0,1.0,1605.0,20.942,15.7425,5.364,5.6027,9.3041
22.0,100.0,1.0,1606.0,22.7296,16.6092,6.3031,5.0133,10.1319
22.0,100.0,1.0,1607.0,22.1308,16.8998,6.7328,5.1541,9.9082
22.0,100.0,1.0,1608.0,20.686,16.4316,4.5209,4.5339,8.1988
22.0,100.0,1.0,1609.0,20.3825,16.1112,3.1608,2.8293,7.5415
22.0,100.0,1.0,1610.0,19.4462,14.7435,3.0891,1.4697,6.5228
22.0,100.0,1.0,1611.0,18.7082,12.8648,1.6591,0.3202,3.0986
22.0,100.0,1.0,1612.0,17.8248,12.5244,-0.6458,-1.5271,1.4216
22.0,100.0,1.0,1613.0,16.9346,11.2173,-2.1486,-4.6198,0.4086
22.0,100.0,1.0,1614.0,14.4028,7.9418,-4.8303,-7.1607,-3.0758
22.0,100.0,1.0,1615.0,11.9656,4.2987,-8.2808,-10.634,-6.6019
22.0,100.0,1.0,1616.0,11.9664,2.7667,-9.0454,-11.6355,-7.286
22.0,100.0,1.0,1617.0,10.0435,2.1498,-9.6754,-13.404,-9.0298
22.0,100.0,1.0,1618.0,8.6092,0.0153,-9.695,-14.2969,-10.3968
22.0,100.0,1.0,1619.0,7.0488,-1.0248,-9.8493,-13.3165,-10.2026
22.0,100.0,1.0,1620.0,7.085,0.8479,-8.5992,-10.8884,-9.3667
22.0,100.0,1.0,1621.0,4.4812,-0.9834,-8.5315,-11.1261,-10.8414
22.0,100.0,1.0,1622.0,4.3006,-2.8699,-8.7498,-10.8594,-11.5873
22.0,100.0,1.0,1623.0,5.1554,-3.4342,-9.6149,-10.9506,-12.5101
22.0,100.0,1.0,1624.0,3.1974,-4.9533,-10.8371,-13.0803,-14.3072
22.0,100.0,1.0,1625.0,0.545,-7.3138,-12.4779,-15.8489,-15.2247
22.0,100.0,1.0,1626.0,-0.9649,-8.3861,-13.2649,-16.9977,-15.8427
22.0,100.0,1.0,1627.0,1.4069,-7.5493,-12.1366,-15.6054,-14.807
22.0,100.0,1.0,1628.0,0.3625,-9.4627,-11.4639,-14.7712,-15.3125
22.0,100.0,1.0,1629.0,-0.8938,-9.7104,-9.4191,-14.2459,-14.9081
22.0,100.0,1.0,1630.0,-0.7322,-9.1516,-7.8588,-12.449,-13.4454
22.0,100.0,1.0,1631.0,-1.3845,-10.3625,-8.2607,-12.4525,-15.4712
22.0,100.0,1.0,1632.0,-4.8021,-12.3081,-9.9999,-13.3977,-18.6239
22.0,100.0,1.0,1633.0,-7.7605,-13.1056,-11.7002,-13.5942,-18.9657
22.0,100.0,1.0,1634.0,-10.3096,-15.2442,-13.7881,-14.5504,-20.7881
22.0,100.0,1.0,1635.0,-12.0248,-17.0768,-15.002,-15.1698,-22.1787
22.0,100.0,1.0,1636.0,-11.9355,-17.7185,-14.9416,-15.0193,-22.0197
22.0,100.0,1.0,1637.0,-11.2708,-17.3724,-15.2323,-13.1685,-21.3911
22.0,100.0,1.0,1638.0,-9.8556,-16.1951,-13.7942,-13.1101,-20.3772
22.0,100.0,1.0,1639.0,-8.8927,-14.6522,-12.1481,-12.9008,-18.9036
22.0,100.0,1.0,1640.0,-10.4823,-15.6157,-12.7784,-15.251,-19.7442
22.0,100.0,1.0,1641.0,-12.9202,-17.7727,-12.8955,-17.1932,-20.9175
22.0,100.0,1.0,1642.0,-13.7148,-18.8981,-12.7971,-17.5177,-21.1838
22.0,100.0,1.0,1643.0,-11.7593,-17.8954,-10.8463,-16.6765,-19.9102
22.0,100.0,1.0,1644.0,-11.2864,-18.3984,-11.5534,-17.9877,-20.0588
22.0,100.0,1.0,1645.0,-12.4138,-19.0802,-12.4393,-17.9357,-21.8481
22.0,100.0,1.0,1646.0,-13.2636,-19.0785,-13.3877,-16.7674,-21.8461
22.0,100.0,1.0,1647.0,-14.0385,-17.9549,-13.4488,-15.2711,-20.8181
22.0,100.0,1.0,1648.0,-13.8423,-17.6602,-14.247,-14.963,-21.292
22.0,100.0,1.0,1649.0,-14.5199,-17.7757,-14.1049,-14.5974,-20.9761
22.0,100.0,1.0,1650.0,-14.7346,-18.6382,-14.2187,-13.3562,-19.5429
22.0,100.0,1.0,1651.0,-16.232,-19.4307,-14.5821,-12.9525,-19.0155
22.0,100.0,1.0,1652.0,-17.0233,-19.5378,-14.2162,-13.8842,-19.533
22.0,100.0,1.0,1653.0,-15.3349,-18.4122,-13.4207,-12.1785,-17.6632
22.0,100.0,1.0,1654.0,-15.8375,-17.8794,-13.7238,-10.9193,-16.2024
22.0,100.0,1.0,1655.0,-17.2698,-18.2947,-13.7166,-11.3188,-15.6764
22.0,100.0,1.0,1656.0,-15.8317,-16.8613,-11.2972,-9.4421,-13.8904
22.0,100.0,1.0,1657.0,-12.4411,-13.413,-7.4735,-5.9918,-11.5016
22.0,100.0,1.0,1658.0,-12.8862,-13.14,-7.8538,-6.7603,-11.9096
22.0,100.0,1.0,1659.0,-12.8838,-12.3159,-7.9174,-6.1741,-11.6798
22.0,100.0,1.0,1660.0,-10.8614,-9.6623,-5.2804,-3.9196,-9.325
22.0,100.0,1.0,1661.0,-8.7649,-7.7426,-3.5679,-2.9638,-7.7565
22.0,100.0,1.0,1662.0,-7.0364,-7.3154,-4.4322,-3.8627,-7.3674
22.0,100.0,1.0,1663.0,-6.526,-7.0849,-3.5772,-4.4948,-7.3513
22.0,100.0,1.0,1664.0,-6.2602,-6.3376,-3.9549,-4.3356,-7.1965
22.0,100.0,1.0,1665.0,-6.428,-5.7715,-5.9445,-4.0865,-7.7902
22.0,100.0,1.0,1666.0,-4.9043,-5.4074,-5.3742,-3.8055,-5.659
22.0,100.0,1.0,1667.0,-3.4176,-4.9758,-6.4213,-5.0194,-5.8259
22.0,100.0,1.0,1668.0,-3.1758,-4.4735,-7.887,-5.8758,-6.4029
22.0,100.0,1.0,1669.0,-1.8601,-3.3658,-6.8829,-4.8834,-4.3935
22.0,100.0,1.0,1670.0,-0.514,-2.8684,-5.6882,-4.2343,-3.2671
22.0,100.0,1.0,1671.0,0.3467,-2.3146,-4.5689,-4.4026,-2.4629
22.0,100.0,1.0,1672.0,0.7097,-1.8717,-3.9767,-3.7857,-2.5256
22.0,100.0,1.0,1673.0,3.64,1.0702,-1.8407,1.3084,-0.1117
22.0,100.0,1.0,1674.0,6.4658,2.3982,0.4533,4.1125,2.961
22.0,100.0,1.0,1675.0,7.8326,3.4767,2.4587,5.8036,4.8114
22.0,100.0,1.0,1676.0,6.1298,2.9867,1.3941,5.4509,4.1423
22.0,100.0,1.0,1677.0,6.4088,5.0487,1.7089,6.8453,4.6809
22.0,100.0,1.0,1678.0,9.6018,7.9591,2.3221,9.4159,6.0313
22.0,100.0,1.0,1679.0,12.0524,10.5576,1.3694,9.9331,6.554
22.0,100.0,1.0,1680.0,14.7804,12.4703,1.7643,9.9249,8.5793
22.0,100.0,1.0,1681.0,15.6228,12.4193,2.4087,9.2855,9.351
22.0,100.0,1.0,1682.0,14.5017,11.8087,3.534,8.1815,8.5968
22.0,100.0,1.0,1683.0,13.602,11.6565,4.6421,8.5885,9.7358
22.0,100.0,1.0,1684.0,14.1448,10.9849,3.3111,7.0601,9.8904
22.0,100.0,1.0,1685.0,16.2568,12.1184,2.9189,6.6647,9.6656
22.0,100.0,1.0,1686.0,15.6988,11.9472,3.5181,8.247,8.2447
