subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
80.0,10.0,1.0,1587.0,-10.6336,-12.2756,-6.3507,-5.7521,-7.2291
80.0,10.0,1.0,1588.0,-9.1281,-11.0045,-5.5267,-4.6359,-6.8169
80.0,10.0,1.0,1589.0,-7.4829,-8.4063,-5.0732,-2.3555,-4.9178
80.0,10.0,1.0,1590.0,-9.1881,-10.8874,-5.9397,-3.0895,-6.0388
80.0,10.0,1.0,1591.0,-11.6163,-13.9492,-7.3837,-5.6823,-8.2473
80.0,10.0,1.0,1592.0,-11.3522,-14.7042,-7.0953,-6.3057,-8.9882
80.0,10.0,1.0,1593.0,-8.9701,-14.3745,-6.0894,-6.2872,-9.1743
80.0,10.0,1.0,1594.0,-8.5065,-14.4158,-5.6097,-7.2222,-9.5694
80.0,10.0,1.0,1595.0,-8.6356,-12.714,-5.3122,-6.5306,-9.8926
80.0,10.0,1.0,1596.0,-8.2989,-11.3755,-5.1738,-4.9984,-9.699
80.0,10.0,1.0,1597.0,-8.3798,-11.728,-5.1893,-5.1183,-9.5578
80.0,10.0,1.0,1598.0,-6.7737,-9.9397,-4.1121,-3.7821,-6.5474
80.0,10.0,1.0,1599.0,-4.2751,-8.4341,-3.4474,-2.2267,-5.3968
80.0,10.0,1.0,1600.0,-1.4717,-7.0806,-2.776,-0.3446,-4.1021
80.0,10.0,1.0,1601.0,-1.2564,-6.388,-3.5467,-0.1535,-3.36
80.0,10.0,1.0,1602.0,-1.0818,-5.5985,-3.6622,-0.1483,-2.3452
80.0,10.0,1.0,1603.0,-0.8131,-5.5313,-3.3267,-0.0905,-2.0302
80.0,10.0,1.0,1604.0,0.2565,-4.8891,-3.3989,0.0795,-0.8357
80.0,10.0,1.0,1605.0,1.7399,-3.7476,-5.3665,-0.2968,-0.3617
80.0,10.0,1.0,1606.0,2.3592,-1.9937,-5.1022,-0.5123,-0.3661
80.0,10.0,1.0,1607.0,1.1876,-1.6272,-4.3762,-1.5021,-0.9126
80.0,10.0,1.0,1608.0,-1.0414,-3.5794,-7.1248,-3.771,-2.6918
80.0,10.0,1.0,1609.0,-2.3673,-5.8116,-9.2853,-5.1026,-3.3555
80.0,10.0,1.0,1610.0,-4.3253,-8.8644,-9.9321,-6.9273,-5.1213
80.0,10.0,1.0,1611.0,-7.1401,-11.3772,-11.3934,-8.2155,-7.3945
80.0,10.0,1.0,1612.0,-8.1468,-12.1918,-11.9015,-8.468,-8.0655
80.0,10.0,1.0,1613.0,-8.0288,-11.4441,-11.3075,-8.9689,-8.0481
80.0,10.0,1.0,1614.0,-8.2473,-9.5292,-8.9867,-8.1379,-7.2019
80.0,10.0,1.0,1615.0,-7.9113,-9.1443,-9.2412,-7.085,-7.922
80.0,10.0,1.0,1616.0,-4.8487,-6.8761,-8.7306,-3.822,-5.5197
