subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
41.0,100.0,1.0,1587.0,0.639,1.0226,-0.1114,0.7908,1.2084
41.0,100.0,1.0,1588.0,-0.3534,0.6764,0.8137,0.458,0.3234
41.0,100.0,1.0,1589.0,-1.5537,-0.217,-1.3714,-1.4696,-1.0809
41.0,100.0,1.0,1590.0,-3.0427,-0.811,-1.6757,-1.6844,-1.2563
41.0,100.0,1.0,1591.0,-4.4074,-1.1033,-1.5836,-1.4915,-0.1455
41.0,100.0,1.0,1592.0,-3.8419,-1.4938,-2.7215,-2.2346,-1.1004
41.0,100.0,1.0,1593.0,-4.3031,-3.7201,-5.1275,-4.5959,-4.116
41.0,100.0,1.0,1594.0,-4.0946,-3.8417,-3.6237,-3.6162,-4.224
41.0,100.0,1.0,1595.0,-4.2045,-3.7323,-1.9407,-2.8609,-3.8954
41.0,100.0,1.0,1596.0,-3.9142,-3.9991,-1.7398,-2.9478,-4.2969
41.0,100.0,1.0,1597.0,-3.8008,-4.3687,-2.9372,-3.9051,-4.9446
41.0,100.0,1.0,1598.0,-5.5937,-6.0384,-4.9769,-5.4096,-7.0769
41.0,100.0,1.0,1599.0,-6.6701,-6.7779,-5.6162,-5.8432,-7.6868
41.0,100.0,1.0,1600.0,-7.2527,-7.1253,-7.6852,-6.9013,-7.6181
41.0,100.0,1.0,1601.0,-8.519,-8.2607,-10.3622,-9.2942,-8.5328
41.0,100.0,1.0,1602.0,-11.2559,-10.4076,-13.8408,-12.6592,-10.4288
41.0,100.0,1.0,1603.0,-12.1575,-11.6638,-15.2582,-14.1411,-10.7128
41.0,100.0,1.0,1604.0,-11.7592,-12.3064,-13.8521,-13.3061,-11.2507
41.0,100.0,1.0,1605.0,-11.1122,-12.5654,-13.7129,-13.2287,-12.5633
41.0,100.0,1.0,1606.0,-11.0248,-13.0865,-14.4653,-13.7388,-13.2726
41.0,100.0,1.0,1607.0,-11.7553,-13.5371,-15.7978,-15.3508,-14.6272
41.0,100.0,1.0,1608.0,-11.7542,-13.6624,-15.0086,-15.5139,-14.9029
41.0,100.0,1.0,1609.0,-12.4241,-14.6113,-15.501,-16.0986,-15.2481
41.0,100.0,1.0,1610.0,-13.2495,-15.139,-15.8412,-15.8248,-15.1271
41.0,100.0,1.0,1611.0,-12.2716,-14.5535,-15.8157,-15.9195,-15.5106
41.0,100.0,1.0,1612.0,-12.3484,-14.6266,-16.3191,-17.1291,-16.2362
41.0,100.0,1.0,1613.0,-13.6971,-15.7025,-15.9389,-17.5287,-17.442
41.0,100.0,1.0,1614.0,-15.4729,-17.8471,-18.4212,-20.2317,-20.6998
41.0,100.0,1.0,1615.0,-15.1514,-19.1741,-20.5512,-21.9717,-22.3883
41.0,100.0,1.0,1616.0,-14.2299,-18.4219,-18.0829,-20.05,-20.6079
41.0,100.0,1.0,1617.0,-14.4506,-18.1467,-16.12,-19.3393,-20.1936
41.0,100.0,1.0,1618.0,-16.457,-19.9542,-16.3692,-20.3515,-21.7778
41.0,100.0,1.0,1619.0,-17.7625,-21.442,-17.5385,-21.353,-22.4882
41.0,100.0,1.0,1620.0,-17.4338,-21.6433,-18.5023,-22.1743,-23.4222
41.0,100.0,1.0,1621.0,-16.5931,-21.1545,-18.6707,-22.2404,-23.4824
41.0,100.0,1.0,1622.0,-15.9761,-20.9665,-19.1851,-22.2499,-22.4668
41.0,100.0,1.0,1623.0,-14.6885,-19.5435,-18.1801,-20.4124,-20.7644
41.0,100.0,1.0,1624.0,-15.0763,-20.2746,-18.5094,-20.2826,-20.3346
41.0,100.0,1.0,1625.0,-16.4665,-20.8907,-18.3279,-20.2285,-21.3576
41.0,100.0,1.0,1626.0,-15.8513,-19.2762,-16.3184,-18.6215,-20.5652
41.0,100.0,1.0,1627.0,-16.7424,-19.6502,-17.2614,-19.8173,-19.9559
41.0,100.0,1.0,1628.0,-16.5846,-20.4421,-18.673,-20.9815,-21.0233
41.0,100.0,1.0,1629.0,-15.2051,-19.8603,-18.2942,-20.3502,-21.3801
41.0,100.0,1.0,1630.0,-15.4896,-20.2034,-18.2039,-20.2586,-21.2477
41.0,100.0,1.0,1631.0,-14.8291,-19.8317,-18.3341,-19.7121,-19.7662
41.0,100.0,1.0,1632.0,-15.748,-20.6262,-20.1525,-21.5006,-20.223
41.0,100.0,1.0,1633.0,-15.8557,-21.2225,-22.717,-23.9317,-21.8215
41.0,100.0,1.0,1634.0,-13.9489,-20.0579,-24.1123,-24.447,-21.8754
