subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
70.0,100.0,1.0,1587.0,-7.2494,-5.7168,-1.9207,-2.7613,-2.6594
70.0,100.0,1.0,1588.0,-7.3561,-6.2327,-2.9795,-3.3891,-3.0938
70.0,100.0,1.0,1589.0,-6.6911,-6.6679,-4.3205,-3.7987,-3.7574
70.0,100.0,1.0,1590.0,-7.8266,-8.7017,-6.948,-6.5676,-5.6835
70.0,100.0,1.0,1591.0,-8.5799,-10.3928,-8.2563,-8.8023,-6.8809
70.0,100.0,1.0,1592.0,-8.8326,-11.3108,-7.7761,-9.7691,-7.5813
70.0,100.0,1.0,1593.0,-7.9469,-11.0686,-8.2984,-10.5853,-7.5783
70.0,100.0,1.0,1594.0,-6.0697,-9.4194,-8.821,-9.5475,-6.7289
70.0,100.0,1.0,1595.0,-4.7479,-9.4015,-8.6461,-9.9301,-8.0857
70.0,100.0,1.0,1596.0,-4.2093,-10.2274,-6.5649,-10.2435,-8.3845
70.0,100.0,1.0,1597.0,-4.7304,-10.3048,-5.5724,-10.4392,-8.1638
70.0,100.0,1.0,1598.0,-4.6381,-9.4002,-6.5803,-11.4826,-8.2554
70.0,100.0,1.0,1599.0,-4.4596,-9.0412,-8.6468,-12.8483,-8.6686
70.0,100.0,1.0,1600.0,-4.4394,-10.0597,-8.4651,-13.8601,-9.2627
70.0,100.0,1.0,1601.0,-5.3661,-11.1692,-9.6703,-14.6935,-10.7347
70.0,100.0,1.0,1602.0,-4.2074,-10.2477,-8.8982,-13.9072,-9.7704
70.0,100.0,1.0,1603.0,-2.4617,-9.3638,-7.7422,-12.7893,-8.7886
70.0,100.0,1.0,1604.0,0.0526,-7.1359,-5.9542,-10.4774,-6.749
70.0,100.0,1.0,1605.0,1.5606,-4.7122,-5.0391,-9.1922,-4.7794
70.0,100.0,1.0,1606.0,5.7489,-0.8844,-2.7196,-5.6978,-1.3622
70.0,100.0,1.0,1607.0,7.6331,0.526,-0.997,-4.068,0.0985
70.0,100.0,1.0,1608.0,6.0818,-1.39,-2.3808,-5.6962,-1.7647
70.0,100.0,1.0,1609.0,4.4932,-2.3758,-4.5008,-7.0362,-3.2309
70.0,100.0,1.0,1610.0,3.5333,-2.7224,-6.8582,-8.8243,-3.9774
70.0,100.0,1.0,1611.0,2.9156,-3.1964,-9.1101,-10.3717,-4.924
70.0,100.0,1.0,1612.0,4.1666,-2.9846,-7.9934,-10.5524,-5.3366
70.0,100.0,1.0,1613.0,4.3316,-2.7204,-7.6212,-10.0872,-4.3684
70.0,100.0,1.0,1614.0,4.7798,-1.7544,-7.6108,-8.35,-3.0608
70.0,100.0,1.0,1615.0,6.0484,-0.3329,-6.6442,-6.1486,-1.6831
70.0,100.0,1.0,1616.0,7.8001,2.205,-5.1086,-5.4014,0.2702
70.0,100.0,1.0,1617.0,7.0448,1.8571,-4.981,-5.9699,0.1138
70.0,100.0,1.0,1618.0,6.9737,1.2514,-4.8114,-4.8361,0.3878
70.0,100.0,1.0,1619.0,7.8753,2.0192,-4.2995,-3.0138,1.7418
70.0,100.0,1.0,1620.0,10.4409,4.7253,-1.7348,-0.6939,4.0458
70.0,100.0,1.0,1621.0,14.2501,7.7055,0.9477,2.6016,6.8106
70.0,100.0,1.0,1622.0,15.0175,8.2856,2.4878,4.7609,8.1079
70.0,100.0,1.0,1623.0,15.2355,7.5996,2.0622,4.3486,7.9156
70.0,100.0,1.0,1624.0,17.1215,9.3565,5.09,7.0444,10.1475
70.0,100.0,1.0,1625.0,18.2233,10.2183,8.2767,9.4977,11.7069
70.0,100.0,1.0,1626.0,15.8468,9.2579,6.4629,7.2414,10.2574
70.0,100.0,1.0,1627.0,14.078,10.0968,6.1374,7.0858,10.5495
70.0,100.0,1.0,1628.0,12.2931,9.2961,5.8523,6.8274,9.7971
70.0,100.0,1.0,1629.0,10.546,7.2236,5.6134,5.5211,8.5978
70.0,100.0,1.0,1630.0,9.1266,5.6208,5.2033,5.3406,8.1923
70.0,100.0,1.0,1631.0,7.7073,4.9222,6.0272,5.9895,8.4694
70.0,100.0,1.0,1632.0,5.4553,3.8266,6.1279,4.8502,6.5252
70.0,100.0,1.0,1633.0,2.9724,2.1668,4.9472,3.3901,5.1651
70.0,100.0,1.0,1634.0,2.8434,2.7893,5.1655,3.3876,6.4349
70.0,100.0,1.0,1635.0,1.8359,2.013,5.1737,3.3389,5.3272
70.0,100.0,1.0,1636.0,0.8724,0.8659,3.99,2.5772,4.0736
70.0,100.0,1.0,1637.0,-0.567,1.1216,3.4282,2.1624,5.0189
70.0,100.0,1.0,1638.0,-1.6842,0.5,2.5849,1.8264,4.7862
70.0,100.0,1.0,1639.0,-2.1178,-0.4849,1.7024,0.7221,3.5817
