subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
17.0,100.0,1.0,1587.0,8.9066,3.9815,2.0678,1.817,0.9343
17.0,100.0,1.0,1588.0,10.464,6.1282,7.0878,5.1051,0.9647
17.0,100.0,1.0,1589.0,9.1466,5.0617,-0.0429,0.851,-3.2789
17.0,100.0,1.0,1590.0,14.4103,11.1293,20.5259,13.0505,6.5555
17.0,100.0,1.0,1591.0,11.6835,6.5741,3.0339,3.0265,1.1424
17.0,100.0,1.0,1592.0,11.7037,6.7855,4.2574,4.4939,0.5751
17.0,100.0,1.0,1593.0,10.332,5.1075,6.3622,5.2343,-1.3327
17.0,100.0,1.0,1594.0,7.2676,0.7917,-4.5048,-2.5721,-7.2036
17.0,100.0,1.0,1595.0,4.0918,-1.4601,-9.0202,-5.3872,-8.2299
17.0,100.0,1.0,1596.0,0.0642,-6.3717,-18.8689,-11.8677,-11.3072
17.0,100.0,1.0,1597.0,7.6862,1.8262,12.2935,6.1286,1.2621
17.0,100.0,1.0,1598.0,4.1781,-4.1208,-11.9245,-8.396,-6.2924
17.0,100.0,1.0,1599.0,7.7439,1.059,10.8892,5.4023,4.7983
17.0,100.0,1.0,1600.0,7.5602,0.4357,3.4855,2.1274,1.9082
17.0,100.0,1.0,1601.0,6.56,-1.462,-7.4753,-4.1423,-4.9756
17.0,100.0,1.0,1602.0,7.6747,-0.39,-0.844,-1.41,-4.101
17.0,100.0,1.0,1603.0,9.9518,1.7989,5.8518,2.6454,-0.5893
17.0,100.0,1.0,1604.0,13.7569,6.6114,14.6071,10.2537,4.8392
17.0,100.0,1.0,1605.0,13.3418,6.3239,5.8705,6.4005,2.4811
17.0,100.0,1.0,1606.0,13.3337,6.411,0.3666,3.4103,2.2942
17.0,100.0,1.0,1607.0,12.7589,3.5597,-6.845,-1.975,-0.4111
17.0,100.0,1.0,1608.0,12.86,3.6985,1.9255,1.7042,1.3668
17.0,100.0,1.0,1609.0,9.5704,1.5759,0.939,0.4974,0.2773
17.0,100.0,1.0,1610.0,10.2628,1.7017,2.0991,0.8602,-0.4759
